,Combined Occupation,Best Match in Exposure Scores,Similarity Score
3001,Automotive glass installers and repairers,Automotive Glass Installers and Repairers,1.0
3002,Automotive service technicians and mechanics,Automotive Service Technicians and Mechanics,1.0
3003,Bus and truck mechanics and diesel engine specialists,Bus and Truck Mechanics and Diesel Engine Specialists,1.0
3004,Heavy vehicle and mobile equipment service technicians and mechanics,"Mobile Heavy Equipment Mechanics, Except Engines",0.598263602114452
3005,Small engine mechanics,Outdoor Power Equipment and Other Small Engine Mechanics,0.6511560618207491
3006,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,Audiovisual Equipment Installers and Repairers,0.41063338430608787
3007,Control and valve installers and repairers,"Control and Valve Installers and Repairers, Except Mechanical Door",0.7081348835807173
3008,Heating air conditioning and refrigeration mechanics and installers,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",1.0
3009,Home appliance repairers,Home Appliance Repairers,1.0000000000000002
3010,Industrial and refractory machinery mechanics,Industrial Machinery Mechanics,0.8040450481294322
3011,Maintenance and repair workers general,"Maintenance and Repair Workers, General",1.0000000000000002
3012,Maintenance workers machinery,"Maintenance Workers, Machinery",1.0000000000000002
3013,Millwrights,Millwrights,1.0
3014,Electrical powerline installers and repairers,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.5243532268814901
3015,Telecommunications line installers and repairers,Telecommunications Line Installers and Repairers,1.0
3016,Precision instrument and equipment repairers,Medical Equipment Repairers,0.40286766022048026
3017,Coin vending and amusement machine servicers and repairers,"Coin, Vending, and Amusement Machine Servicers and Repairers",1.0
3018,Commercial divers,Commercial Divers,1.0000000000000002
3019,Locksmiths and safe repairers,Locksmiths and Safe Repairers,1.0
3020,Manufactured building and mobile home installers,Manufactured Building and Mobile Home Installers,1.0
3021,Riggers,Riggers,1.0
3022,Signal and track switch repairers,Signal and Track Switch Repairers,1.0000000000000002
3023,Helpersinstallation maintenance and repair workers ,"Maintenance and Repair Workers, General",0.6330072881171637
3024,Other installation maintenance and repair workers including wind turbine service technicians,Wind Turbine Service Technicians,0.6682163105491359
3025,Firstline supervisors of production and operating workers,First-Line Supervisors of Production and Operating Workers,0.7173499379068
3026,Aircraft structure surfaces rigging and systems assemblers,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",1.0000000000000002
3027,Electrical electronics and electromechanical assemblers,Electromechanical Equipment Assemblers,0.6719948037025827
3028,Engine and other machine assemblers,Engine and Other Machine Assemblers,1.0
3029,Structural metal fabricators and fitters,Structural Metal Fabricators and Fitters,1.0
3030,Miscellaneous assemblers and fabricators,Engine and Other Machine Assemblers,0.3571967585158705
3031,Bakers,Bakers,1.0
3032,Butchers and other meat poultry and fish processing workers,"Meat, Poultry, and Fish Cutters and Trimmers",0.5885602699275435
3033,Food and tobacco roasting baking and drying machine operators and tenders,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",1.0
3034,Food batchmakers,Food Batchmakers,1.0000000000000002
3035,Food cooking machine operators and tenders,Food Cooking Machine Operators and Tenders,1.0
3036,Food processing workers all other,Food Preparation Workers,0.3955368367522605
3037,Computer control programmers and operators,Computer Programmers,0.7591279681950722
3038,Extruding and drawing machine setters operators and tenders metal and plastic,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",1.0
3039,Forging machine setters operators and tenders metal and plastic,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
3040,Rolling machine setters operators and tenders metal and plastic,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
3041,Cutting punching and press machine setters operators and tenders metal and plastic,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
3042,Drilling and boring machine tool setters operators and tenders metal and plastic ,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
3043,Grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
3044,Lathe and turning machine tool setters operators and tenders metal and plastic,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.9999999999999997
3045,Milling and planing machine setters operators and tenders metal and plastic,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
3046,Machinists,Machinists,1.0
3047,Metal furnace operators tenders pourers and casters,"Pourers and Casters, Metal",0.7947168594032411
3048,Model makers and patternmakers metal and plastic,"Model Makers, Metal and Plastic",0.8684940286880496
3049,Molders and molding machine setters operators and tenders metal and plastic,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.6493967666683704
3050,Multiple machine tool setters operators and tenders metal and plastic ,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
3051,Tool and die makers,Tool and Die Makers,1.0000000000000002
3052,Welding soldering and brazing workers,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.8283169303360245
3053,Heat treating equipment setters operators and tenders metal and plastic,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",1.0000000000000002
3054,Layout workers metal and plastic,"Layout Workers, Metal and Plastic",1.0
3055,Plating and coating machine setters operators and tenders metal and plastic,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.869321226484487
3056,Tool grinders filers and sharpeners,"Tool Grinders, Filers, and Sharpeners",1.0
3057,Metal workers and plastic workers all other,"Layout Workers, Metal and Plastic",0.5589376059684472
3058,Prepress technicians and workers,Prepress Technicians and Workers,1.0000000000000002
3059,Printing workers except prepress technicians and workers,Prepress Technicians and Workers,0.7307186646392434
3060,Laundry and drycleaning workers,Laundry and Dry-Cleaning Workers,0.4130892641169059
3061,Pressers textile garment and related materials,"Pressers, Textile, Garment, and Related Materials",1.0
3062,Sewing machine operators,Sewing Machine Operators,1.0
3063,Shoe and leather workers and repairers,Shoe and Leather Workers and Repairers,1.0000000000000002
3064,Shoe machine operators and tenders,Shoe Machine Operators and Tenders,1.0000000000000002
3065,Tailors dressmakers and sewers,"Tailors, Dressmakers, and Custom Sewers",0.8128293858380296
3066,Textile bleaching and dyeing machine operators and tenders,Textile Bleaching and Dyeing Machine Operators and Tenders,1.0000000000000002
3067,Textile cutting machine setters operators and tenders,"Textile Cutting Machine Setters, Operators, and Tenders",1.0000000000000002
3068,Textile knitting and weaving machine setters operators and tenders,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",1.0000000000000002
3069,Textile winding twisting and drawing out machine setters operators and tenders,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",1.0
3070,Fabric and apparel patternmakers,Fabric and Apparel Patternmakers,1.0000000000000002
3071,Upholsterers,Upholsterers,1.0
3072,Miscellaneous textile apparel and furnishings workers including extruding and forming machine setters operators and tenders synthetic and glass fibers,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.8004983580266967
3073,Cabinetmakers and bench carpenters,Cabinetmakers and Bench Carpenters,1.0
3074,Furniture finishers,Furniture Finishers,1.0
3075,Sawing machine setters operators and tenders wood,"Sawing Machine Setters, Operators, and Tenders, Wood",1.0000000000000002
3076,Woodworking machine setters operators and tenders except sawing,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",1.0
3077,Miscellaneous woodworkers including model makers and patternmakers,"Model Makers, Metal and Plastic",0.5051023888658546
3078,Power plant operators distributors and dispatchers,Power Distributors and Dispatchers,0.8636771763475458
3079,Stationary engineers and boiler operators,Stationary Engineers and Boiler Operators,1.0
3080,Water and wastewater treatment plant and system operators,Water and Wastewater Treatment Plant and System Operators,1.0
3081,Miscellaneous plant and system operators,Chemical Plant and System Operators,0.7500871711224125
3082,Chemical processing machine setters operators and tenders,Chemical Equipment Operators and Tenders,0.6238584464035057
3083,Crushing grinding polishing mixing and blending workers,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.6215436628930631
3084,Cutting workers,"Textile Cutting Machine Setters, Operators, and Tenders",0.49195887690754364
3085,Extruding forming pressing and compacting machine setters operators and tenders,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",1.0
3086,Furnace kiln oven drier and kettle operators and tenders,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",1.0
3087,Inspectors testers sorters samplers and weighers,"Inspectors, Testers, Sorters, Samplers, and Weighers",1.0000000000000002
3088,Jewelers and precious stone and metal workers,Jewelers and Precious Stone and Metal Workers,1.0000000000000004
3089,Medical dental and ophthalmic laboratory technicians,Ophthalmic Laboratory Technicians,0.7775690174884949
3090,Packaging and filling machine operators and tenders,Packaging and Filling Machine Operators and Tenders,1.0
3091,Painting workers,"Painting, Coating, and Decorating Workers",0.5457513290758276
3092,Photographic process workers and processing machine operators,Photographic Process Workers and Processing Machine Operators,1.0
3093,Semiconductor processors,Semiconductor Processing Technicians,0.5746037160592703
3094,Adhesive bonding machine operators and tenders,Adhesive Bonding Machine Operators and Tenders,1.0000000000000002
3095,Cleaning washing and metal pickling equipment operators and tenders,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",1.0000000000000004
3096,Cooling and freezing equipment operators and tenders,Cooling and Freezing Equipment Operators and Tenders,1.0
3097,Etchers and engravers,Etchers and Engravers,1.0
3098,Molders shapers and casters except metal and plastic,"Molders, Shapers, and Casters, Except Metal and Plastic",1.0000000000000004
3099,Paper goods machine setters operators and tenders,"Paper Goods Machine Setters, Operators, and Tenders",1.0
3100,Tire builders,Tire Builders,1.0
3101,Production workers all other,Helpers--Production Workers,0.5449421326078258
3102,Supervisors of transportation and material moving workers,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.5910849510088619
3103,Aircraft pilots and flight engineers,"Airline Pilots, Copilots, and Flight Engineers",0.5497121679812816
3104,Air traffic controllers and airfield operations specialists,Air Traffic Controllers,0.7472455007227425
3105,Flight attendants,Flight Attendants,1.0
3106,Ambulance drivers and attendants except emergency medical technicians,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",1.0
3107,Bus drivers,"Bus Drivers, Transit and Intercity",0.6194711776797484
3108,Driversales workers and truck drivers,Light Truck Drivers,0.48842645152936603
3109,Motor vehicle operators all other,Recreational Vehicle Service Technicians,0.32483393675122396
3110,Locomotive engineers and operators,Locomotive Engineers,0.9150814468198241
3111,Railroad brake signal and switch operators,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",0.7850020690055327
3112,Railroad conductors and yardmasters,Railroad Conductors and Yardmasters,1.0000000000000002
3113,Subway streetcar and other rail transportation workers,Subway and Streetcar Operators,0.7099306847058662
3114,Sailors and marine oilers,Sailors and Marine Oilers,1.0
3115,Ship and boat captains and operators,Ship Engineers,0.41297679848379154
3116,Ship engineers,Ship Engineers,1.0000000000000002
3117,Bridge and lock tenders,Bridge and Lock Tenders,1.0000000000000002
3118,Parking lot attendants,Parking Attendants,0.7301691339914256
3119,Automotive and watercraft service attendants   ,Automotive and Watercraft Service Attendants,1.0
3120,Transportation inspectors,Transportation Inspectors,1.0
3121,Transportation attendants except flight attendants,Flight Attendants,0.8200260664394328
3122,Other transportation workers ,Transportation Engineers,0.5756484536771793
3123,Conveyor operators and tenders,Conveyor Operators and Tenders,1.0
3124,Crane and tower operators,Crane and Tower Operators,1.0000000000000002
3125,Dredge excavating and loading machine operators,Dredge Operators,0.5857396166265703
3126,Hoist and winch operators,Hoist and Winch Operators,1.0
3127,Industrial truck and tractor operators,Industrial Truck and Tractor Operators,0.9999999999999999
3128,Cleaners of vehicles and equipment,Cleaners of Vehicles and Equipment,1.0000000000000004
3129,Laborers and freight stock and material movers hand,"Laborers and Freight, Stock, and Material Movers, Hand",1.0000000000000002
3130,Machine feeders and offbearers,Machine Feeders and Offbearers,1.0000000000000002
3131,Packers and packagers hand,"Packers and Packagers, Hand",1.0000000000000002
3132,Pumping station operators,Gas Compressor and Gas Pumping Station Operators,0.5782957557582663
3133,Refuse and recyclable material collectors,Refuse and Recyclable Material Collectors,1.0000000000000002
3134,Mine shuttle car operators,Rail Car Repairers,0.3463624816612242
3135,Tank car truck and ship loaders,"Tank Car, Truck, and Ship Loaders",1.0
3136,Material moving workers all other,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.44346289082667845
3137,Chief executives,Chief Executives,1.0
3138,General and operations managers,General and Operations Managers,1.0000000000000002
3139,Advertising and promotions managers,Advertising and Promotions Managers,1.0000000000000002
3140,Marketing managers,Marketing Managers,1.0000000000000002
3141,Sales managers,Sales Managers,1.0
3142,Public relations and fundraising managers,Public Relations Specialists,0.6524214552276155
3143,Administrative services managers,Administrative Services Managers,1.0
3144,Facilities managers,Facilities Managers,1.0
3145,Computer and information systems managers,Computer and Information Systems Managers,1.0
3146,Financial managers,Financial Managers,1.0
3147,Compensation and benefits managers,Compensation and Benefits Managers,1.0000000000000002
3148,Human resources managers,Human Resources Managers,1.0
3149,Training and development managers,Training and Development Managers,1.0000000000000002
3150,Industrial production managers,Industrial Production Managers,1.0
3151,Purchasing managers,Purchasing Managers,0.9999999999999998
3152,Transportation storage and distribution managers,"Transportation, Storage, and Distribution Managers",1.0
3153,Farmers ranchers and other agricultural managers,"Farmers, Ranchers, and Other Agricultural Managers",1.0000000000000002
3154,Construction managers,Construction Managers,1.0
3155,Education and childcare administrators,"Education and Childcare Administrators, Preschool and Daycare",0.6970427211146035
3156,Architectural and engineering managers,Architectural and Engineering Managers,1.0000000000000002
3157,Food service managers,Food Service Managers,1.0
3158,Funeral home managers,Funeral Home Managers,1.0
3159,Entertainment and recreation managers,Recreation Workers,0.6002504272806192
3160,Lodging managers,Lodging Managers,1.0
3161,Medical and health services managers,Medical and Health Services Managers,1.0
3162,Natural sciences managers,Natural Sciences Managers,1.0
3163,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
3164,Property real estate and community association managers,"Property, Real Estate, and Community Association Managers",1.0000000000000002
3165,Social and community service managers,Social and Community Service Managers,1.0000000000000002
3166,Emergency management directors,Emergency Management Directors,1.0
3167,Personal service managers all other,Food Service Managers,0.4559704320039509
3168,Managers all other,Sales Managers,0.3696097589298694
3169,Agents and business managers of artists performers and athletes,"Agents and Business Managers of Artists, Performers, and Athletes",1.0
3170,Buyers and purchasing agents farm products,"Buyers and Purchasing Agents, Farm Products",1.0000000000000002
3171,Wholesale and retail buyers except farm products,"Wholesale and Retail Buyers, Except Farm Products",1.0
3172,Purchasing agents except wholesale retail and farm products,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.0
3173,Claims adjusters appraisers examiners and investigators,"Claims Adjusters, Examiners, and Investigators",0.892927966236575
3174,Compliance officers,Compliance Officers,1.0000000000000002
3175,Cost estimators,Cost Estimators,1.0000000000000002
3176,Human resources workers,Human Resources Managers,0.8591305019818227
3177,Compensation benefits and job analysis specialists,"Compensation, Benefits, and Job Analysis Specialists",1.0
3178,Training and development specialists,Training and Development Specialists,1.0000000000000002
3179,Logisticians,Logisticians,1.0
3180,Project management specialists,Document Management Specialists,0.46431064302481045
3181,Management analysts,Management Analysts,1.0
3182,Meeting convention and event planners,"Meeting, Convention, and Event Planners",1.0
3183,Fundraisers,Fundraisers,1.0
3184,Market research analysts and marketing specialists,Market Research Analysts and Marketing Specialists,1.0000000000000002
3185,Business operations specialists all other,Airfield Operations Specialists,0.4741048259618431
3186,Accountants and auditors,Accountants and Auditors,1.0
3187,Property appraisers and assessors,Appraisers and Assessors of Real Estate,0.5786192332757265
3188,Budget analysts,Budget Analysts,1.0
3189,Credit analysts,Credit Analysts,1.0000000000000002
3190,Financial and investment analysts,Investment Fund Managers,0.45459915575256216
3191,Personal financial advisors,Personal Financial Advisors,1.0000000000000002
3192,Insurance underwriters,Insurance Underwriters,1.0
3193,Financial examiners,Financial Examiners,1.0
3194,Credit counselors and loan officers,Credit Counselors,0.7193326010255139
3195,Tax examiners and collectors and revenue agents,"Tax Examiners and Collectors, and Revenue Agents",1.0000000000000002
3196,Tax preparers,Tax Preparers,1.0000000000000002
3197,Other financial specialists,Financial Managers,0.5411843840960389
3198,Computer and information research scientists,Computer and Information Research Scientists,1.0000000000000002
3199,Computer systems analysts,Computer Systems Analysts,1.0000000000000004
3200,Information security analysts,Information Security Analysts,1.0
3201,Computer programmers,Computer Programmers,1.0
3202,Software developers,Web Developers,0.4837231443921335
3203,Software quality assurance analysts and testers,Software Quality Assurance Analysts and Testers,1.0
3204,Web developers,Web Developers,1.0000000000000002
3205,Web and digital interface designers,Web Administrators,0.3531602668650403
3206,Computer support specialists,Computer Network Support Specialists,0.801152998211987
3207,Database administrators and architects,Database Administrators,0.8368411745494154
3208,Network and computer systems administrators,Network and Computer Systems Administrators,1.0000000000000002
3209,Computer network architects,Computer Network Architects,1.0
3210,Actuaries,Actuaries,1.0
3211,Mathematicians,Mathematicians,1.0
3212,Operations research analysts,Operations Research Analysts,1.0
3213,Statisticians,Statisticians,1.0
3214,Architects except landscape and naval,"Architects, Except Landscape and Naval",1.0
3215,Landscape architects,Landscape Architects,1.0000000000000002
3216,Surveyors cartographers and photogrammetrists,Cartographers and Photogrammetrists,0.8228126241379894
3217,Aerospace engineers,Aerospace Engineers,1.0
3218,Agricultural engineers,Agricultural Engineers,1.0000000000000002
3219,Bioengineers and biomedical engineers,Bioengineers and Biomedical Engineers,1.0
3220,Chemical engineers,Chemical Engineers,1.0
3221,Civil engineers,Civil Engineers,1.0
3222,Computer hardware engineers,Computer Hardware Engineers,1.0
3223,Electrical and electronics engineers,Electrical Engineers,0.7515490803265313
3224,Environmental engineers,Environmental Engineers,1.0000000000000002
3225,Industrial engineers including health and safety,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.6434148506298756
3226,Marine engineers and naval architects,Marine Engineers and Naval Architects,1.0000000000000002
3227,Materials engineers,Materials Engineers,1.0
3228,Mechanical engineers,Mechanical Engineers,1.0
3229,Mining and geological engineers including mining safety engineers,"Mining and Geological Engineers, Including Mining Safety Engineers",1.0
3230,Nuclear engineers,Nuclear Engineers,1.0
3231,Petroleum engineers,Petroleum Engineers,1.0000000000000002
3232,Engineers all other,Sales Engineers,0.39211122589104425
3233,Architectural and civil drafters,Architectural and Civil Drafters,1.0
3234,Other drafters,Mechanical Drafters,0.594509866100393
3235,Electrical and electronic engineering technologists and technicians,Electrical and Electronic Engineering Technologists and Technicians,1.0000000000000002
3236,Other engineering technologists and technicians except drafters,Industrial Engineering Technologists and Technicians,0.6152285061808256
3237,Surveying and mapping technicians,Surveying and Mapping Technicians,1.0
3238,Agricultural and food scientists,Food Scientists and Technologists,0.637855208331819
3239,Biological scientists,Biological Technicians,0.6886448989662532
3240,Conservation scientists and foresters,Conservation Scientists,0.7399173304552942
3241,Medical scientists,"Medical Scientists, Except Epidemiologists",0.5828237945471899
3242,Life scientists all other,Animal Scientists,0.3212147287554923
3243,Astronomers and physicists,Astronomers,0.6984036707053972
3244,Atmospheric and space scientists,Atmospheric and Space Scientists,1.0
3245,Chemists and materials scientists,Materials Scientists,0.719391524229903
3246,Environmental scientists and specialists including health,"Environmental Scientists and Specialists, Including Health",1.0000000000000002
3247,Geoscientists and hydrologists except geographers,"Geoscientists, Except Hydrologists and Geographers",1.0000000000000002
3248,Physical scientists all other,Physical Therapists,0.4632431824163994
3249,Economists,Economists,1.0
3250,Survey researchers,Survey Researchers,1.0000000000000002
3251,Clinical and counseling psychologists,Clinical and Counseling Psychologists,1.0000000000000002
3252,School psychologists,School Psychologists,1.0
3253,Other psychologists,School Psychologists,0.6571423874901519
3254,Sociologists,Sociologists,1.0
3255,Urban and regional planners,Urban and Regional Planners,1.0000000000000002
3256,Miscellaneous social scientists and related workers,Healthcare Social Workers,0.37848647472368674
3257,Agricultural and food science technicians,Food Science Technicians,0.8367657884266988
3258,Biological technicians,Biological Technicians,1.0000000000000002
3259,Chemical technicians,Chemical Technicians,1.0000000000000002
3260,Environmental science and geoscience technicians,"Environmental Science Teachers, Postsecondary",0.5087123479910666
3261,Nuclear technicians,Nuclear Technicians,1.0000000000000002
3262,Social science research assistants,Social Science Research Assistants,1.0000000000000002
3263,Other life physical and social science technicians,Food Science Technicians,0.4458131367477503
3264,Occupational health and safety specialists and technicians,Occupational Health and Safety Specialists,0.9393376472826862
3265,Substance abuse and behavioral disorder counselors,Substance Abuse and Behavioral Disorder Counselors,1.0
3266,Educational guidance and career counselors and advisors,"Educational, Guidance, and Career Counselors and Advisors",1.0
3267,Marriage and family therapists,Marriage and Family Therapists,1.0000000000000002
3268,Mental health counselors,Mental Health Counselors,1.0
3269,Rehabilitation counselors,Rehabilitation Counselors,1.0
3270,Counselors all other,Credit Counselors,0.5060871932773584
3271,Child family and school social workers,"Child, Family, and School Social Workers",1.0000000000000002
3272,Healthcare social workers,Healthcare Social Workers,1.0000000000000002
3273,Mental health and substance abuse social workers,Mental Health and Substance Abuse Social Workers,1.0
3274,Social workers all other,Healthcare Social Workers,0.48639868886247145
3275,Probation officers and correctional treatment specialists,Probation Officers and Correctional Treatment Specialists,1.0000000000000002
3276,Social and human service assistants,Social and Human Service Assistants,1.0000000000000002
3277,Other community and social service specialists,Social and Community Service Managers,0.777845940392573
3278,Clergy,Clergy,1.0
3279,Directors religious activities and education,"Directors, Religious Activities and Education",1.0
3280,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
3281,Lawyers,Lawyers,1.0
3282,Judicial law clerks,Judicial Law Clerks,1.0000000000000002
3283,Judges magistrates and other judicial workers,"Judges, Magistrate Judges, and Magistrates",0.6490951958508347
3284,Paralegals and legal assistants,Paralegals and Legal Assistants,1.0000000000000002
3285,Title examiners abstractors and searchers,"Title Examiners, Abstractors, and Searchers",1.0
3286,Legal support workers all other,Paralegals and Legal Assistants,0.3476606946283765
3287,Postsecondary teachers,"Education Teachers, Postsecondary",0.8058568897882079
3288,Preschool and kindergarten teachers,"Special Education Teachers, Preschool",0.5352483629376134
3289,Elementary and middle school teachers,"Special Education Teachers, Middle School",0.6270104994319234
3290,Secondary school teachers,"Special Education Teachers, Secondary School",0.7635691318379477
3291,Special education teachers,"Special Education Teachers, Preschool",0.8218997345797203
3292,Tutors,Tutors,1.0
3293,Other teachers and instructors,"Nursing Instructors and Teachers, Postsecondary",0.630339662652457
3294,Archivists curators and museum technicians,Curators,0.5469498158392657
3295,Librarians and media collections specialists,Librarians and Media Collections Specialists,1.0000000000000004
3296,Library technicians,Library Technicians,1.0
3297,Teaching assistants,"Teaching Assistants, Postsecondary",0.8387003879557965
3298,Other educational instruction and library workers,Library Technicians,0.38692021989553205
3299,Artists and related workers,Craft Artists,0.4313291677916558
3300,Commercial and industrial designers,Commercial and Industrial Designers,1.0
3301,Fashion designers,Fashion Designers,1.0
3302,Floral designers,Floral Designers,1.0
3303,Graphic designers,Graphic Designers,1.0
3304,Interior designers,Interior Designers,1.0
3305,Merchandise displayers and window trimmers,Merchandise Displayers and Window Trimmers,1.0000000000000002
3306,Other designers,Graphic Designers,0.515733873001284
3307,Actors,Actors,1.0
3308,Producers and directors,Producers and Directors,1.0
3309,Athletes and sports competitors,Athletes and Sports Competitors,1.0000000000000002
3310,Coaches and scouts,Coaches and Scouts,1.0
3311,Umpires referees and other sports officials,"Umpires, Referees, and Other Sports Officials",1.0000000000000002
3312,Dancers and choreographers,Choreographers,0.6984036707053972
3313,Music directors and composers,Music Directors and Composers,1.0000000000000002
3314,Musicians and singers,Musicians and Singers,1.0
3315,Disc jockeys except radio,Broadcast Announcers and Radio Disc Jockeys,0.7247554876014095
3316,Broadcast announcers and radio disc jockeys,Broadcast Announcers and Radio Disc Jockeys,1.0000000000000002
3317,News analysts reporters and journalists,"News Analysts, Reporters, and Journalists",0.9999999999999998
3318,Public relations specialists,Public Relations Specialists,1.0
3319,Editors,Editors,1.0
3320,Technical writers,Technical Writers,1.0000000000000002
3321,Writers and authors,Writers and Authors,1.0
3322,Interpreters and translators,Interpreters and Translators,1.0000000000000002
3323,Court reporters and simultaneous captioners,Court Reporters and Simultaneous Captioners,1.0
3324,Media and communication workers all other,Media Technical Directors/Managers,0.30577552494896343
3325,Broadcast sound and lighting technicians,Broadcast Technicians,0.584840502593329
3326,Photographers,Photographers,1.0
3327,Television video and film camera operators and editors,"Camera Operators, Television, Video, and Film",0.9134878564191935
3328,Chiropractors,Chiropractors,1.0
3329,Dentists,"Dentists, General",0.7639215032757366
3330,Dietitians and nutritionists,Dietitians and Nutritionists,1.0
3331,Optometrists,Optometrists,1.0
3332,Pharmacists,Pharmacists,1.0
3333,Emergency medicine physicians,Sports Medicine Physicians,0.6969310411869302
3334,Radiologists,Radiologists,1.0
3335,Other physicians,"Physicians, Pathologists",0.5966820178543546
3336,Surgeons,Oral and Maxillofacial Surgeons,0.4902598206633145
3337,Physician assistants,Physician Assistants,1.0
3338,Podiatrists,Podiatrists,1.0
3339,Audiologists,Audiologists,1.0
3340,Occupational therapists,Occupational Therapists,1.0
3341,Physical therapists,Physical Therapists,1.0
3342,Radiation therapists,Radiation Therapists,1.0
3343,Recreational therapists,Recreational Therapists,0.9999999999999998
3344,Respiratory therapists,Respiratory Therapists,1.0
3345,Speechlanguage pathologists,"Physicians, Pathologists",0.5126559254429967
3346,Exercise physiologists,Exercise Physiologists,1.0
3347,Therapists all other,Physical Therapists,0.45992982661270304
3348,Veterinarians,Veterinarians,1.0
3349,Registered nurses,Registered Nurses,1.0
3350,Nurse anesthetists,Nurse Anesthetists,1.0
3351,Nurse midwives,Nurse Midwives,1.0000000000000002
3352,Nurse practitioners,Nurse Practitioners,1.0
3353,Acupuncturists,Acupuncturists,1.0
3354,Healthcare diagnosing or treating practitioners all other,Healthcare Social Workers,0.3003813879322077
3355,Clinical laboratory technologists and technicians,Medical and Clinical Laboratory Technologists,0.8505418455482474
3356,Dental hygienists,Dental Hygienists,1.0
3357,Cardiovascular technologists and technicians,Cardiovascular Technologists and Technicians,1.0
3358,Diagnostic medical sonographers,Diagnostic Medical Sonographers,1.0
3359,Radiologic technologists and technicians,Radiologic Technologists and Technicians,1.0
3360,Magnetic resonance imaging technologists,Magnetic Resonance Imaging Technologists,1.0
3361,Nuclear medicine technologists and medical dosimetrists,Nuclear Medicine Technologists,0.7521398054863546
3362,Emergency medical technicians,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.6123534891553035
3363,Pharmacy technicians,Pharmacy Technicians,1.0
3364,Psychiatric technicians,Psychiatric Technicians,1.0
3365,Surgical technologists,Surgical Technologists,1.0
3366,Veterinary technologists and technicians,Veterinary Technologists and Technicians,1.0000000000000002
3367,Dietetic technicians and ophthalmic medical technicians,Ophthalmic Medical Technicians,0.778011401700242
3368,Licensed practical and licensed vocational nurses,Licensed Practical and Licensed Vocational Nurses,1.0000000000000002
3369,Medical records specialists,Police Identification and Records Officers,0.3782086225236512
3370,Opticians dispensing,"Opticians, Dispensing",1.0000000000000002
3371,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
3372,Home health aides,Home Health Aides,1.0000000000000002
3373,Personal care aides,Personal Care Aides,1.0000000000000002
3374,Nursing assistants,Nursing Assistants,1.0000000000000002
3375,Orderlies and psychiatric aides,Psychiatric Aides,0.738118748977395
3376,Occupational therapy assistants and aides,Occupational Therapy Aides,0.9170892023304107
3377,Physical therapist assistants and aides,Physical Therapist Aides,0.9124908152700336
3378,Massage therapists,Massage Therapists,1.0
3379,Dental assistants,Dental Assistants,1.0
3380,Medical assistants,Medical Assistants,1.0
3381,Medical transcriptionists,Medical Transcriptionists,1.0000000000000002
3382,Pharmacy aides,Pharmacy Aides,1.0
3383,Veterinary assistants and laboratory animal caretakers,Veterinary Assistants and Laboratory Animal Caretakers,1.0
3384,Phlebotomists,Phlebotomists,1.0
3385,Other healthcare support workers,Healthcare Social Workers,0.6027938983981282
