Occupation Name,Verb-Noun Pairs,Matched Verb-Noun Pairs from AI
Purchasing Managers,"bid award, require approval",require approval
Library Technicians,maintain periodical,"maintain consistency, maintain continuity, maintain condition, maintain confidentiality"
Floral Designers,"change display, enhance image","optimize image, enhance image, transform image, display change, change display, integrate image"
Craft Artists,"assess need, obtain feedback","obtain feedback, assess need, determine need, identify need, predict need"
Roofers,"prepare surface, use hammer, rub brick","use polishing, use spreadsheet, use manipulator, use adjustment, use messenger, use override, use machine, use pseudo, use bladder, use slider, use frame, use positioning, use handler, use entropy, use microphone, use mismatch, use linkage, use stub, use fingerprint, use template, use earphone, use electroencephalogram, use polygon, use ellipse, use controller, use mirror, use multitude, use primitive, use wallet, use actuator, use bottleneck, use fingerprinting, use coupling, use spline, use insertion, use mechanism, use wearable, use timing, use handle, use heartbeat, use stack, use magnet, use switching, use overlay, use instance, use apparatus, use electromyography, use automobile, use oscillator, use adder, use tracker, use headphone, use prop, use steering, use signature, use shield, use balancing, use cleaner, use washer, use pillar, use envelope, use equilibrium, use weighting, use technique, use trajectory, use replacement, use drawing, use velocity, use clumping, use hardware, use keypad, use retrieval, use glove, use generator, use container, use scaling, use warping, use instrument"
Business Continuity Planners,"create scenario, reestablish operation","coordinate operation, create framework, initiate operation, implement operation, establish identification, create scenario, establish communication, maintain operation, facilitate operation"
Insurance Underwriters,"field representative, obtain information, explain policy","utilize information, obtain information, receive information, obtain document, determine policy, validate information, designate field, provide information, obtain indication, determine information, obtain identification, acquire information"
"Education and Childcare Administrators, Preschool and Daycare","submit request, grant proposal, solicit funding",grant permission
Political Scientists,analyze policy,"determine policy, evaluate policy, generate policy"
"Environmental Scientists and Specialists, Including Health",affect environment,"affect propagation, affect communication"
Radiologic Technologists and Technicians,"provide assistance, change patient","provide functionality, provide assessment, provide collaboration, provide distribution, provide recommendation, provide stabilization, provide consultation, provide extension, provide information, provide reservation, provide mobility, provide treatment, provide assistant, provide availability, provide environment, provide authentication, provide equipment, provide alternative, provide development, provide conversation, provide exchange, provide effectiveness, provide emergence, provide understandability, provide modification, provide improvement, provide maintenance, provide accessibility, provide verification, provide advancement, provide advertisement, provide titration, provide communication, provide coordination, provide resource, provide continuity, provide objective, provide ordering, provide training, provide recovery, provide aggregation, provide foundation, provide presentation, provide experience, provide service, provide prompt, provide interoperability, provide guidance, provide deployment, provide explanation, provide intervention, provide organization, provide arrangement, provide identification, provide complication, provide compensation, provide infrastructure, provide assistance, provide connection, provide synchronization, provide provenance, provide notification, provide solution, provide credential, provide protection, provide support, provide reference, provide enhancement, provide retraining, provide infotainment, provide terminology, provide telecommunication, provide configuration, provide impairment, provide guideline, provide recognition, provide interaction, provide suggestion, provide application, provide relevance, provide instruction, provide instructor, provide specification, provide transformation, provide assurance, provide commercial, provide capability, provide allocation, provide incentive, provide indication, provide benefit, provide management, provide transmission, provide evaluation, provide optimization, provide representation, provide prevention, provide connectivity, provide portability, provide agility, provide healthcare, provide monitoring, provide response"
Electromechanical Equipment Assemblers,use press,"use positioning, use correspondence"
First-Line Supervisors of Office and Administrative Support Workers,"facilitate productivity, overcome aspect","facilitate optimization, facilitate integration, facilitate performance, facilitate efficiency, facilitate synchronization, facilitate production, facilitate mobility, facilitate improvement, facilitate development, facilitate interaction, facilitate functionality, facilitate environment"
"Environmental Scientists and Specialists, Including Health",obtain use,"use modality, use compensation, use adaptability, use capture, use consumption, use spreadsheet, use manipulator, use validation, use attribute, use affinity, use preference, use adjustment, use propensity, use sensitivity, use catheter, use messenger, use threshold, use taxonomy, use override, use monitoring, use dispersal, use delivery, use variance, quantify use, use classification, use conversion, use identifier, use satisfaction, use surveillance, use predictor, use dispersion, use occupancy, use utility, use sampling, use lithography, detect use, use preparation, use ophthalmoscope, use accelerator, use highlight, use perspective, use positioning, use knowledge, use receptivity, use alignment, use handler, use hierarchy, use intermediary, use tracking, use search, use diffusion, use summarization, use entropy, adjust use, manage use, use characteristic, use indication, use chromatography, use mismatch, use ledger, use normalization, use universal, indicate use, use computation, use premise, use bonding, use resource, use conductance, use fingerprint, use blueprint, use template, use combination, use difficulty, use modulus, use reference, use accumulation, use inspection, use instantiation, use reconnaissance, use specification, use ultrasound, use transformer, use estimation, use appliance, use definition, use potential, use comparison, use functionality, use doppler, use summary, use supplementation, use concealment, use repetition, use circumstance, use electroencephalogram, use scheduling, use relevance, use controller, use quantification, use quantization, use estimator, intervene use, use grating, use multitude, use identification, use address, use encoding, use primitive, use classifier, use inference, use priming, use augmentation, use transfer, use surrogate, use transmission, identify use, use commodity, use deferral, use reclassification, use bottleneck, use guidance, use assessment, use authentication, use replication, use fingerprinting, use tending, use consumer, use thermography, use interoperability, use spline, use exception, use configuration, use insertion, use disclosure, use shard, use credential, use inversion, use decoding, use magnification, use description, use example, use electrocardiogram, use vocalization, use connection, use tachograph, use pharmaceutical, use correspondence, use proxy, use wearable, use measurement, use variability, use reward, use resonance, determine use, use prescription, use understanding, use component, use handle, use workflow, use synthesis, use certificate, use switching, monitor use, use overlay, use tocopherol, use representation, use quotient, use provider, use extraction, use instance, use apparatus, use electromyography, use extract, use compression, use background, use visualization, use segmentation, use automobile, use regularization, use heuristic, use repository, use ordering, use evaluator, use propagation, use apprenticeship, use occurrence, use sample, use scanning, use oscillator, use approximation, use count, use probability, use reinforcement, use differentiator, use distillation, use profiling, use subset, use encryption, use recognition, use difference, use amplification, enable use, use measure, use application, use authorization, use correction, use transaction, use representative, use permit, use absorption, use constraint, use factorization, use cardiogram, use signature, use descriptor, use implementation, use transformation, use principle, use statistic, use balancing, use parameter, use therapeutic, use sensitizer, use reconstruction, use compiler, use document, use processing, use locator, optimize use, use connectivity, use construct, predict use, use gradient, use envelope, use confidence, use equilibrium, use extension, use prediction, use guarantee, use trajectory, use localization, use replacement, use instruction, restrict use, facilitate use, use cryptography, use exercise, use extractor, use recommendation, use qualification, use allocation, use retrieval, use optimization, modify use, use estimate, use recovery, use indicator, use reasoning, use verification, use physiology, use substitution, use comprehension, use convolution, classify use, use determination, use generator, use material, use container, use distribution, use aggregation, use photograph, use scaling, use access, use coordinate, use supervision, use foresight, use information, use analyzer, use request, use procedure, use conditioning, use catalog, use evaluation, use discovery, use consistency, use instrument, use interrogation, use provenance"
Aircraft Cargo Handling Supervisors,"distribute cargo, maximize use","use modality, use bandwidth, use adaptability, use capture, use consumption, use spreadsheet, use catalyst, use manipulator, use technology, use attribute, use preference, use adjustment, use platform, use propensity, use sensitivity, use catheter, use layout, use messenger, use threshold, use override, use interface, use monitoring, use dispersal, use delivery, quantify use, use conversion, use satisfaction, use identifier, use surveillance, use metric, use predictor, use playback, use dispersion, use utility, use capability, use sampling, use ethernet, use algorithm, use accelerator, use ophthalmoscope, use multiple, use perspective, use management, use positioning, use highlight, use receptivity, use handler, use alignment, use hierarchy, use intermediary, use tracking, use diffusion, use entropy, adjust use, use mapping, manage use, use microphone, use characteristic, use chromatography, use mismatch, use stability, use ledger, use infrastructure, use linkage, use universal, indicate use, use computation, use premise, use bonding, use resource, use fingerprint, use blueprint, use template, use coding, use combination, use difficulty, use modulus, use reference, use accumulation, use instantiation, use reconnaissance, use frequency, use earphone, reduce use, use ultrasound, use transformer, use appliance, use potential, use comparison, use functionality, use target, use doppler, use supplementation, use concealment, use repetition, use pricing, use computing, use electroencephalogram, use scheduling, use relevance, use controller, use quantization, use manufacturing, use estimator, use display, intervene use, use multitude, use feedback, use grating, use encoding, use primitive, use priming, use inference, use pipeline, use augmentation, use transfer, use transmission, identify use, use normalizer, use commodity, use variable, use parallelism, use bottleneck, use replication, use assessment, use authentication, use tending, use fingerprinting, use coupling, use consumer, use thermography, use interoperability, use spline, use planner, use framework, use configuration, use storage, use shard, use disclosure, use insertion, use credential, use inversion, use input, use decoding, use electrocardiogram, use pharmaceutical, use wearable, use environment, use measurement, use reward, use sensing, use resonance, determine use, use prescription, use understanding, use timing, use component, use handle, use workflow, use stack, use switching, monitor use, use overlay, use marking, use tocopherol, use waveform, use primer, use extraction, use quotient, use provider, use instance, use apparatus, use uncertainty, use electromyography, use extract, use compression, use visualization, use segmentation, use automobile, use regularization, use repository, use ordering, use evaluator, use strength, use propagation, use package, use apprenticeship, use coherence, use affect, use oscillator, use scanning, use dynamic, use strategy, use probability, use reinforcement, use differentiator, use distillation, use profiling, use tracker, use encryption, use difference, enable use, use automation, use measure, use headphone, use correction, use absorption, use prop, use reduction, use constraint, use factorization, use cardiogram, use steering, use signature, use product, use transformation, use reset, use balancing, use parameter, use packaging, use buffer, use therapeutic, use sensitizer, use processing, use locator, optimize use, use connectivity, predict use, use construct, use gradient, use envelope, use confidence, use equilibrium, use technique, use prediction, use extension, use trajectory, use guarantee, use replacement, restrict use, use dimension, use biofeedback, facilitate use, use cryptography, use velocity, use exercise, use extractor, use recommendation, use hardware, use clumping, use allocation, use sharing, use retrieval, use optimization, modify use, use estimate, use recovery, use indicator, use comprehension, use convolution, use determination, use generator, use container, use distribution, use aggregation, use analyzer, use scaling, use coordinate, use forecasting, use foresight, use modeling, use planning, use conditioning, use client, use warping, use consistency"
Remote Sensing Technicians,"collect datum, assess impact","evaluate impact, assess impact, predict impact, monitor impact, assess effect, measure impact, collect datum, analyze impact, determine impact"
Electrical and Electronics Drafters,"compare configuration, calculate figure, modify element","compare plurality, modify structure, modify element, configure element, modify function"
Health Informatics Specialists,provide consultation,"provide insulation, provide functionality, provide assessment, provide collaboration, provide distribution, provide combination, provide classification, provide definition, provide recommendation, provide stabilization, provide consultation, provide extension, provide information, provide reservation, provide mobility, provide reduction, provide treatment, provide availability, provide environment, provide selection, provide authentication, provide calibration, provide alternative, provide development, provide conversation, provide exchange, provide effectiveness, provide sensation, provide emergence, provide understandability, provide multiplication, provide segmentation, provide perception, provide modification, provide improvement, provide monitoring, provide maintenance, provide accessibility, provide verification, provide advancement, provide advertisement, provide reflection, provide titration, provide communication, provide coordination, provide transcription, provide resource, provide continuity, provide objective, provide ordering, provide training, provide component, provide framework, provide resolution, provide correction, provide isolation, provide aggregation, provide foundation, provide presentation, provide experience, provide announcement, provide orchestration, provide interoperability, provide nutrition, provide guidance, provide deployment, provide education, provide attribution, provide explanation, provide intervention, provide organization, provide arrangement, provide agreement, provide amusement, provide quotation, provide comparison, provide direction, provide meeting, provide identification, provide generation, provide complication, provide document, provide automation, provide condition, provide compensation, provide infrastructure, provide assistance, provide connection, provide synchronization, provide relationship, provide provenance, provide transaction, provide screening, provide notification, provide solution, provide credential, provide protection, provide support, provide reference, provide enhancement, provide proposal, provide retraining, provide infotainment, provide location, provide terminology, provide telecommunication, provide prediction, provide simulation, provide configuration, provide translation, provide repository, provide guideline, provide recognition, provide interaction, provide session, provide suggestion, provide application, provide relevance, provide instruction, provide specification, provide transformation, provide assurance, provide commercial, provide allocation, provide operation, provide indication, provide incentive, provide management, provide transmission, provide evaluation, provide processing, provide optimization, provide representation, provide prevention, provide inspiration, provide interpretation, provide connectivity, provide agility, provide stimulation, provide visualization, provide healthcare, provide approach, provide response"
Tax Preparers,provide planning,"provide intervention, provide setting, provide maintenance, provide arrangement, provide assessment, provide accessibility, provide advancement, provide recommendation, provide transformation, provide stabilization, provide consultation, provide commercial, provide infrastructure, provide allocation, provide assistance, provide incentive, provide coordination, provide sorting, provide management, provide refocusing, provide continuity, provide ordering, provide evaluation, provide training, provide optimization, provide development, provide aggregation, provide strategy, provide understandability, provide pruning, provide retraining, provide guidance, provide telecommunication, provide improvement, provide deployment, provide monitoring"
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","inspect product, meet specification","meet requirement, meet management, meet information, meet conception"
Sewing Machine Operators,"stretch edge, form section","form extraction, form structure, form element, form document, form composite, form representation"
Petroleum Engineers,"modify machinery, apply principle","apply representation, apply principle, apply preference"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","improve efficiency, change filter, clean duct, refill refrigerant","improve optimization, optimize throughput, improve stability, accelerate throughput, enhance memorability, improve concentration, improve enhancement, improve productivity, improve workflow, improve competency, improve adaptability, improve functioning, improve reliability, improve quality, improve capability, improve flexibility, improve functionality, improve sensitivity, improve effectiveness, improve accuracy, optimize efficiency, improve relevance, enhance efficiency, improve automation, improve efficiency, improve visualization, fill container, improve accessibility, improve efficacy, improve placement, improve visibility, improve measurement, improve segmentation, maximize efficiency, improve compliance, improve usability, improve connectivity, enhance reliability, improve utilization, enhance usability, improve performance, improve capacity, improve intelligibility, improve durability, improve throughput, improve processing, improve precision"
"Radio, Cellular, and Tower Equipment Installers and Repairers","test transmitter, ensure readiness","test modification, test robustness, ensure positioning, ensure reproducibility, test network, test test, test function, test computing, test interface, test equipment, test capability, ensure determinism, test device, ensure compliance, test terminal, simulate test, test accuracy, ensure robustness, test circuit, facilitate test, test functionality, ensure integrity, ensure sufficiency, ensure consistency, generate test, test sensitivity, validate test, test application, ensure fairness, test performance"
Transportation Engineers,"investigate problem, recommend method, improve flow","maintain flow, optimize flow, identify problem, manage flow, facilitate flow, affect flow, determine flow, maximize flow, suggest method, improve flow, regulate flow, consider method, utilize flow, integrate flow, recommend method, recommend technique"
Biomass Power Plant Managers,ensure condition,"ensure sufficiency, ensure consistency, ensure reproducibility, ensure positioning, ensure determinism, ensure compliance"
Nuclear Engineers,"perform experiment, provide information","provide function, provide functionality, perform collaboration, perform combination, provide assessment, deliver information, provide distribution, perform calibration, perform validation, perform identification, provide combination, provide classification, provide definition, provide recommendation, provide stabilization, perform amplification, provide consultation, provide information, provide reservation, provide availability, perform examination, provide authentication, provide calibration, provide alternative, provide interface, provide conversation, perform manipulation, incorporate information, provide effectiveness, provide understandability, perform estimation, provide multiplication, provide segmentation, provide perception, perform multiplication, provide modification, provide context, perform aggregation, perform measurement, perform resonance, provide advertising, provide content, perform distillation, provide accessibility, provide verification, perform transformation, provide advancement, provide advertisement, perform exploration, provide reflection, provide titration, provide communication, provide coordination, provide transcription, provide resource, provide objective, provide component, perform orchestration, provide correction, perform computing, perform calculation, provide aggregation, perform rehabilitation, perform synthesis, provide presentation, perform technique, perform highlighting, provide interoperability, provide nutrition, provide guidance, perform computation, perform optimization, perform instruction, provide attribution, provide explanation, obtain information, provide material, provide intervention, perform positioning, perform classification, provide organization, perform inference, perform activity, perform simulation, provide arrangement, provide quotation, perform correction, perform extraction, provide database, provide identification, perform evolution, provide complication, provide document, provide automation, provide compensation, provide infrastructure, provide assistance, provide connection, utilize information, perform prediction, provide synchronization, perform reconstruction, provide provenance, provide transaction, provide notification, maintain information, provide credential, perform instrument, provide protection, provide descriptor, provide reference, provide location, provide terminology, provide telecommunication, provide prediction, provide simulation, perform inversion, provide configuration, provide translation, provide repository, provide guideline, perform exponentiation, perform induction, provide recognition, perform determination, provide interaction, provide suggestion, provide application, provide encryption, provide relevance, provide instruction, provide intelligence, provide transformation, perform stimulation, provide specification, provide assurance, provide capability, provide allocation, perform interaction, provide indication, perform segmentation, provide management, provide transmission, perform conversion, provide evaluation, provide processing, provide optimization, provide representation, provide inspiration, provide interpretation, perform convolution, provide connectivity, perform acceleration, provide portability, perform fusion, provide visualization, perform localization, provide monitoring"
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","interpret result, develop plan","establish plan, generate plan, manage plan, visualize result, identify plan, create plan, identify result, construct plan, communicate result, evaluate plan, produce plan"
Agricultural Equipment Operators,"monitor activity, engage activity","communicate activity, monitor respiration, monitor activity, engage interaction, monitor dilation, monitor stimulation"
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",calibrate instrument,calculate component
Rail Car Repairers,"attach stripping, replace glass, use tool","use framework, use solution, use resource, use spreadsheet, use device, use template, use platform, use hologram, use method, use component, use interface, use machine, use technique, use workflow, use functionality, use hardware, use capability, use tool, use algorithm, use generator, use module, use strategy, use software"
Logging Equipment Operators,"calculate foot, use table","use consumption, use combination, use preference, use consistency, use wearable, use interface, use counter, use appliance, use stack, use overlay, use functionality, use instance, use background, use compression, use ordering, use display, use positioning, use multitude, use intermediary, use tiling, use container, utilize table, use variable, use tending, use table, use mismatch, use spline, use configuration"
Computer Numerically Controlled Tool Programmers,"determine sequence, select tool","analyze sequence, determine interval, determine characteristic, determine prediction, determine sequence, identify sequence"
Quality Control Systems Managers,"verify material, meet standard",meet requirement
"Cutting and Slicing Machine Setters, Operators, and Tenders","adjust control, alter position",optimize control
Computer Systems Analysts,ensure agreement,ensure compliance
"Physicians, Pathologists",supervise work,"work apparatus, perform work, work scheduling"
"Criminal Justice and Law Enforcement Teachers, Postsecondary",read literature,"read understanding, read comprehension"
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","replace part, adjust component, use tool","adjust compression, use framework, adjust configuration, use solution, use resource, use spreadsheet, use device, use template, use platform, use hologram, use method, use component, use interface, use machine, adjust component, use technique, use workflow, adjust variable, use functionality, adjust parameter, adjust complexity, use hardware, use capability, use tool, adjust function, adjust element, adjust characteristic, adjust composition, use algorithm, use generator, use module, use strategy, adjust distribution, adjust deviation, use software"
"Environmental Scientists and Specialists, Including Health","evaluate violation, determine action, provide advice","implement action, identify violation, initiate action, provide advice, simulate action, integrate action, evaluate action, define action, consider action, assign action, recognize action, optimize action, identify action, determine action, coordinate action, suggest action, infer action, predict action, facilitate action, provide guidance, anticipate action, generate action"
Neurologists,perform treatment,"perform rehabilitation, perform occlusion, perform therapy, perform treatment"
Insurance Claims and Policy Processing Clerks,use computer,"use compensation, use bandwidth, use adaptability, use consumption, use spreadsheet, use catalyst, use attribute, use circuit, use messenger, use threshold, use feature, use machine, use simulation, use satisfaction, use translation, use interpolation, use utility, detect use, use ophthalmoscope, use management, use knowledge, use handler, use diffusion, use control, use problem, use mapping, use vocabulary, use interval, use computation, use difficulty, use question, use instantiation, use reconnaissance, use earphone, use estimation, use dilation, use target, use supplementation, use concealment, use repetition, use circumstance, use context, use controller, use quantification, use display, use quantization, intervene use, use multitude, use identification, use agonist, use security, identify use, use replication, use cluster, control use, use fingerprinting, use synchronization, use element, use credential, use description, use domain, use electrocardiogram, use wearable, use excitation, use proxy, use variability, use contrast, use component, use portal, use handle, use heartbeat, use workflow, use switching, use quotient, use waveform, use computer, use instance, use ablation, use electromyography, use repository, use evaluator, use spectrometer, use coherence, use browser, use oscillator, use preview, use science, use network, use tracker, use encryption, use difference, use system, use authorization, use prop, use constraint, use imitation, use principle, use statistic, use parameter, use packaging, use fragment, use processing, use detector, use connectivity, use avalanche, use gradient, use trajectory, facilitate use, use plurality, use clumping, use optimization, modify use, use indicator, use reasoning, use physiology, use fluorescence, classify use, use generator, use tensor, use container, use supervision, use curricula, use microscopy, use personification, use conditioning, use segment, use screen, use recording, use integration, use microscope, use method, quantify use, use conversion, use concatenation, use robot, use emulation, use pointer, use programming, use spectrometry, use perspective, use alignment, use projection, use chromatography, use ledger, use processor, use normalization, use universal, use evolution, use premise, use generation, use decomposition, use illumination, use appliance, use definition, use account, use compound, use transducer, use detection, use sequence, use relevance, use content, use grating, use website, use variant, use pipeline, use wallet, use newsletter, use parallelism, use activity, use bottleneck, use illustration, use assessment, use authentication, use reclassification, use thermography, use picture, use filtration, use configuration, use framework, use mechanism, use disclosure, use insertion, use inversion, use input, use collection, use example, use vocalization, use connection, use correspondence, use tetracycline, use measurement, use spectra, use resonance, use simulator, use understanding, use timing, use counter, use stack, use overlay, use electrolysis, use representation, use primer, use apparatus, use extract, use compression, use architecture, use orchestration, use ordering, use heuristic, use navigation, use propagation, use distillation, use profiling, use subset, use abstract, enable use, use automation, use measure, use application, use running, use correction, use internet, use communication, use representative, use dictionary, use cardiogram, use signature, use reconstruction, use compiler, use technique, use collision, use extractor, use keypad, use transistor, use photograph, use coordinate, use format, use information, use client, use topology, use warping, use catalog, use sensor, use discovery, use interrogation, use modality, use quantum, use analysis, use juxtaposition, use manipulator, use technology, use depolarization, use validation, use platform, use memory, use catheter, use hologram, use layout, use annotation, use override, use tomography, use interface, use thesaurus, use classification, use assembly, use identifier, use surveillance, use dispersion, use library, use capability, use cache, use lithography, use graphic, use preparation, use algorithm, use multiple, use highlight, use positioning, use hierarchy, use equipment, use intermediary, use regression, use spectrum, manage use, use microphone, use characteristic, use indication, use mismatch, use software, use infrastructure, use lexicon, use resource, use fingerprint, use blueprint, use assistant, use coding, use accelerometer, use potential, use comparison, use functionality, use doppler, use satellite, use routine, use variance, use address, use manufacturing, use mirror, use protocol, use neuroscience, use inference, use augmentation, use observation, use intelligence, use transmission, use commodity, use artifact, use coupling, use subsystem, use storage, use decoding, use magnification, use electrode, use learning, use spelling, use prescription, use antagonist, use ontology, use marking, use provider, use collaboration, use oracle, use segmentation, use regularization, use apprenticeship, use scanning, use strategy, use probability, use differentiator, use output, use headphone, use telephone, use solution, use resolution, use implementation, use spectroscopy, use cognition, use sensitizer, optimize use, use equilibrium, use prediction, use replacement, use instruction, use dimension, use drawing, use cryptography, use clustering, use recommendation, use hardware, use qualification, use profile, use retrieval, use formulation, use comprehension, use convolution, use module, use material, use database, use scaling, use foresight, use procedure, use logic, use similarity, use structure, use consistency, use provenance, use antenna, use terminal, use preference, use adjustment, use propensity, use sensitivity, use gateway, use monitoring, use conversation, use metric, use interaction, use playback, use pseudo, use sampling, use ethernet, use accelerator, use perforation, use experience, use particle, use receptivity, use engineering, use tracking, use summarization, use stimulation, use entropy, use program, use packet, use geometry, use matrix, use linkage, use metadata, use stub, use conductance, use device, use template, use camera, use combination, use modulus, use inspection, use reference, use accumulation, use imaging, use frequency, use specification, use ultrasound, use transformer, use partitioning, use computing, use electroencephalogram, use scheduling, use language, use object, use encoding, use vector, use primitive, use classifier, use priming, use transfer, use server, use concept, use personality, use variable, use tending, use consumer, use interoperability, use spline, use exception, use shard, use telemetry, use tachograph, use pharmaceutical, use environment, use sensing, use networks, determine use, use diagram, use synthesis, use certificate, use magnet, monitor use, use modulation, use approach, use operator, use extraction, use nanotube, use background, use visualization, use automobile, use package, use composition, use sample, use dynamic, use approximation, use reinforcement, use recognition, use amplification, use transaction, use product, use factorization, use steering, use descriptor, use design, use transformation, use reset, use balancing, use buffer, use therapeutic, use document, use construct, use envelope, use confidence, use commerce, use extension, use packer, use localization, use exercise, use kernel, use mobile, use allocation, use snapshot, use verification, use substitution, use utterance, use function, use determination, use distribution, use aggregation, use analyzer, use modeling, use evaluation, use tracing, use access, use instrument"
Logging Equipment Operators,fill form,fill form
"Rail Yard Engineers, Dinkey Operators, and Hostlers","switch instruction, determine work, receive order","switch configuration, determine work, identify work"
Photographers,"create light, use flash","use replay, use stub, use spreadsheet, use device, use manipulator, use template, use camera, use electrocardiogram, use fingerprint, use reset, use buffer, use sensing, use catheter, use accelerometer, use earphone, use messenger, use ultrasound, use envelope, use heartbeat, use stack, use trajectory, use switching, use overlay, use primer, use computer, use transducer, use nanotube, use playback, use doppler, use clumping, use hardware, use cache, use retrieval, use ethernet, use transistor, use ophthalmoscope, use indicator, use controller, use slider, use mirror, use display, use browser, use generator, use scanning, use wallet, use screen, use bottleneck, use tracker, use warping, use fingerprinting, use microphone, use sensor, use headphone, use spline, use patch"
Geodetic Surveyors,"direct work, provide consultation","provide insulation, provide functionality, provide assessment, provide collaboration, provide distribution, provide combination, provide classification, provide definition, provide recommendation, provide stabilization, provide consultation, provide extension, provide information, provide reservation, provide mobility, provide reduction, provide treatment, provide availability, provide environment, provide selection, provide authentication, provide calibration, provide alternative, provide development, provide conversation, provide exchange, provide effectiveness, provide sensation, provide emergence, provide understandability, provide multiplication, provide segmentation, provide perception, provide modification, provide improvement, provide monitoring, provide maintenance, provide accessibility, provide verification, provide advancement, provide advertisement, provide reflection, provide titration, provide communication, provide coordination, provide transcription, provide resource, provide continuity, provide objective, provide ordering, provide training, provide component, provide framework, provide resolution, provide correction, provide isolation, provide aggregation, provide foundation, provide presentation, provide experience, provide announcement, provide orchestration, provide interoperability, provide nutrition, provide guidance, provide deployment, provide education, provide attribution, provide explanation, provide intervention, provide organization, provide arrangement, provide agreement, provide amusement, provide quotation, provide comparison, provide direction, provide meeting, provide identification, provide generation, provide complication, provide document, provide automation, provide condition, provide compensation, provide infrastructure, provide assistance, provide connection, provide synchronization, provide relationship, provide provenance, provide transaction, provide screening, provide notification, provide solution, provide credential, provide protection, provide support, provide reference, provide enhancement, provide proposal, provide retraining, provide infotainment, provide location, provide terminology, provide telecommunication, provide prediction, provide simulation, provide configuration, provide translation, provide repository, provide guideline, provide recognition, provide interaction, provide session, provide suggestion, provide application, provide relevance, provide instruction, provide specification, provide transformation, provide assurance, provide commercial, provide allocation, provide operation, provide indication, provide incentive, provide management, provide transmission, provide evaluation, provide processing, provide optimization, provide representation, provide prevention, provide inspiration, provide interpretation, provide connectivity, provide agility, provide stimulation, provide visualization, provide healthcare, provide approach, provide response"
Advanced Practice Psychiatric Nurses,implement plan,"establish plan, generate plan, plan conversation, plan resource, plan trajectory, determine plan, manage plan, plan mechanism, execute plan, identify plan, plan transmission, plan generation, plan configuration, construct plan, plan solution, evaluate plan, provide plan, produce plan"
"Mathematical Science Teachers, Postsecondary",read literature,"read understanding, read comprehension"
Print Binding and Finishing Workers,"operate machine, perform operation","perform aggregation, perform acquisition, perform navigation, perform specification, perform induction, perform simulation, perform inspection, perform determination, perform distillation, perform validation, perform extraction, perform transformation, perform identification, perform amplification, perform transaction, perform communication, perform operation, perform application, operate machinery, perform authorization, perform reconstruction, perform execution, operate machine, perform separation, perform function, perform calculation, perform allocation, perform registration, perform reservation, perform rehabilitation, perform acceleration, perform estimation, perform modulation, perform optimization, perform instruction"
"Family and Consumer Sciences Teachers, Postsecondary",assign work,"determine work, identify work"
Actors,"narrate action, entertain audience, utilize prop",discriminate action
Chemical Technicians,maintain supply,manage supply
