Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Standardized_Occupation_Name,Combined Group,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title
Heavy vehicle and mobile equipment service technicians and mechanics,190160,8380,187951,8415,2209,797,1.2,0.4,61531,1254,61809,1256,35116,8464,(X),(X),2022,0.004458274,heavy vehicle and mobile equipment service technicians and mechanics,,,49-3040,,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,heavy vehicle and mobile equipment service technicians and mechanics,49-3040,,,,
Small engine mechanics,33219,3942,32683,3909,536,489,1.6,1.5,44166,3204,43833,3104,60846,6507,(X),(X),2022,0.001081772,small engine mechanics,,,49-3050,,Small Engine Mechanics,small engine mechanics,49-3050,,,,
Miscellaneous vehicle and mobile equipment mechanics installers and repairers,68875,5428,66032,5345,2843,1059,4.1,1.5,36325,946,36218,1056,37124,13946,(X),(X),2022,0.005737833,miscellaneous vehicle and mobile equipment mechanics installers and repairers,,,49-3090,,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",miscellaneous vehicle and mobile equipment mechanics installers and repairers,49-3090,,,,
Control and valve installers and repairers,25716,3345,24244,3279,1472,669,5.7,2.6,59300,5314,59849,5811,50414,9625,(X),(X),2022,0.002970837,control and valve installers and repairers,,,49-9010,,Control and Valve Installers and Repairers,control and valve installers and repairers,49-9010,,,,
Heating air conditioning and refrigeration mechanics and installers,400426,11736,395599,11547,4827,1251,1.2,0.3,53619,948,53686,952,41929,9870,(X),(X),2022,0.009742004,heating air conditioning and refrigeration mechanics and installers,,,49-9020,,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",heating air conditioning and refrigeration mechanics and installers,49-9020,,,,
Heating air conditioning and refrigeration mechanics and installers,400426,11736,395599,11547,4827,1251,1.2,0.3,53619,948,53686,952,41929,9870,(X),(X),2022,0.009742004,heating air conditioning and refrigeration mechanics and installers,,,,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",heating air conditioning and refrigeration mechanics and installers,49-9021,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Home appliance repairers,31862,3475,30211,3321,1651,822,5.2,2.5,47152,4000,46240,4226,51113,7578,(X),(X),2022,0.0033321,home appliance repairers,,,49-9030,,Home Appliance Repairers,home appliance repairers,49-9030,,,,
Home appliance repairers,31862,3475,30211,3321,1651,822,5.2,2.5,47152,4000,46240,4226,51113,7578,(X),(X),2022,0.0033321,home appliance repairers,,,,49-9031,Home Appliance Repairers,home appliance repairers,49-9031,49-9031.00,Home Appliance Repairers,49-9031,Home Appliance Repairers
Industrial and refractory machinery mechanics,303656,10399,291173,9885,12483,2346,4.1,0.7,61964,990,62445,1038,51370,1919,82.3,3.3,2022,0.025193586,industrial machinery mechanics,,,,49-9041,Industrial Machinery Mechanics,industrial machinery mechanics,49-9041,49-9041.00,Industrial Machinery Mechanics,49-9041,Industrial Machinery Mechanics
Maintenance and repair workers general,648016,14238,622312,13277,25704,3156,4,0.5,52655,539,53041,581,40931,2349,77.2,4.6,2022,0.051876626467663105,maintenance and repair workers general,,,49-9070,,"Maintenance and Repair Workers, General",maintenance and repair workers general,49-9070,,,,
Maintenance and repair workers general,648016,14238,622312,13277,25704,3156,4,0.5,52655,539,53041,581,40931,2349,77.2,4.6,2022,0.051876626467663105,maintenance and repair workers general,,,,49-9071,"Maintenance and Repair Workers, General",maintenance and repair workers general,49-9071,49-9071.00,"Maintenance and Repair Workers, General",49-9071,"Maintenance and Repair Workers, General"
Maintenance workers machinery,21502,2575,21079,2534,423,306,2,1.4,60444,5303,59828,5409,73073,14298,(X),(X),2022,0.000853712,maintenance workers machinery,,,,49-9043,"Maintenance Workers, Machinery",maintenance workers machinery,49-9043,49-9043.00,"Maintenance Workers, Machinery",49-9043,"Maintenance Workers, Machinery"
Millwrights,40213,3492,39088,3320,1125,733,2.8,1.8,74239,3252,74766,3440,62763,20256,(X),(X),2022,0.002270511,millwrights,,,,49-9044,Millwrights,millwrights,49-9044,49-9044.00,Millwrights,49-9044,Millwrights
Electrical powerline installers and repairers,119941,7032,115252,6639,4689,1618,3.9,1.3,88826,4346,90177,4052,48409,16181,(X),(X),2022,0.009463488,electrical powerline installers and repairers,,,,49-9051,Electrical Power-Line Installers and Repairers,electrical powerline installers and repairers,49-9051,49-9051.00,Electrical Power-Line Installers and Repairers,49-9051,Electrical Power-Line Installers and Repairers
Telecommunications line installers and repairers,99840,6627,96640,6624,3200,1280,3.2,1.3,62675,1839,62919,1834,57167,10009,(X),(X),2022,0.006458341,telecommunications line installers and repairers,,,,49-9052,Telecommunications Line Installers and Repairers,telecommunications line installers and repairers,49-9052,49-9052.00,Telecommunications Line Installers and Repairers,49-9052,Telecommunications Line Installers and Repairers
Precision instrument and equipment repairers,56025,4167,49890,3897,6135,1412,11,2.4,60462,2921,62192,2543,46099,2273,(X),(X),2022,0.012381851,precision instrument and equipment repairers,,,49-9060,,Precision Instrument and Equipment Repairers,precision instrument and equipment repairers,49-9060,,,,
Wind turbine service technicians,5511,1395,5503,1400,8,17,0.1,0.3,72289,9782,72221,9815,-,**,-,**,2022,1.6145853242347682e-05,wind turbine service technicians,,,49-9080,,Wind Turbine Service Technicians,wind turbine service technicians,49-9080,,,,
Wind turbine service technicians,5511,1395,5503,1400,8,17,0.1,0.3,72289,9782,72221,9815,-,**,-,**,2022,1.6145853242347682e-05,wind turbine service technicians,,,,49-9081,Wind Turbine Service Technicians,wind turbine service technicians,49-9081,49-9081.00,Wind Turbine Service Technicians,49-9081,Wind Turbine Service Technicians
Coin vending and amusement machine servicers and repairers,22030,3583,20364,3477,1666,629,7.6,2.8,41290,3018,41975,3348,32476,5728,(X),(X),2022,0.003362374,coin vending and amusement machine servicers and repairers,,,,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",coin vending and amusement machine servicers and repairers,49-9091,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers"
Commercial divers,2148,584,1804,499,344,333,16,13.6,55321,18590,55705,16613,31786,86998,(X),(X),2022,0.000694272,commercial divers,,,,49-9092,Commercial Divers,commercial divers,49-9092,49-9092.00,Commercial Divers,49-9092,Commercial Divers
Locksmiths and safe repairers,22207,2478,21430,2463,777,494,3.5,2.2,48619,3329,49108,3420,32015,20720,(X),(X),2022,0.001568166,locksmiths and safe repairers,,,,49-9094,Locksmiths and Safe Repairers,locksmiths and safe repairers,49-9094,49-9094.00,Locksmiths and Safe Repairers,49-9094,Locksmiths and Safe Repairers
Manufactured building and mobile home installers,2183,867,2183,867,0,210,0,8,29301,21648,29301,21648,-,**,-,**,2022,0,manufactured building and mobile home installers,,,,49-9095,Manufactured Building and Mobile Home Installers,manufactured building and mobile home installers,49-9095,49-9095.00,Manufactured Building and Mobile Home Installers,49-9095,Manufactured Building and Mobile Home Installers
Riggers,9818,2018,9153,2047,665,625,6.8,6.4,60975,3460,61090,4024,59729,66817,(X),(X),2022,0.001342124,riggers,,,,49-9096,Riggers,riggers,49-9096,49-9096.00,Riggers,49-9096,Riggers
Helpersinstallation maintenance and repair workers,13927,2043,12948,2012,979,534,7,3.8,36476,1489,36851,2820,35151,6379,(X),(X),2022,0.001975849,helpersinstallation maintenance and repair workers,,,,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",helpersinstallation maintenance and repair workers,49-9098,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",49-9098,"Helpers--Installation, Maintenance, and Repair Workers"
Other installation maintenance and repair workers,148367,7854,141211,7780,7156,1586,4.8,1.1,46377,1133,46755,1172,39800,5394,85.1,11.9,2022,0.014442465725280003,other installation maintenance and repair workers,,,,49-9099,"Installation, Maintenance, and Repair Workers, All Other",other installation maintenance and repair workers,49-9099,49-9099.00,"Installation, Maintenance, and Repair Workers, All Other",49-9099,"Installation, Maintenance, and Repair Workers, All Other"
Other installation maintenance and repair workers,148367,7854,141211,7780,7156,1586,4.8,1.1,46377,1133,46755,1172,39800,5394,85.1,11.9,2022,0.014442465725280003,other installation maintenance and repair workers,,,,49-9099,"Installation, Maintenance, and Repair Workers, All Other",other installation maintenance and repair workers,49-9099,49-9099.01,Geothermal Technicians,49-9099,"Installation, Maintenance, and Repair Workers, All Other"
Production Transportation and Material Moving Occupations,15350829,79638,12001494,69130,3349335,38138,21.8,0.2,43376,145,46944,163,35409,180,75.4,0.5,2022,6.759733921182322,production transportation and material moving occupations,,,,,,,,,,,
Production Occupations,7019626,59152,5178333,50708,1841293,26596,26.2,0.3,45073,209,49667,260,36546,191,73.6,0.5,2022,3.7161558192702615,production occupations,51-0000,,,,Production Occupations,production occupations,51-0000,,,,
Firstline supervisors of production and operating workers,735946,15809,579940,15090,156006,6622,21.2,0.9,62739,580,65965,894,48658,1724,73.8,2.6,2022,0.31485624761571157,firstline supervisors of production and operating workers,,,51-1010,,First-Line Supervisors of Production and Operating Workers,firstline supervisors of production and operating workers,51-1010,,,,
Firstline supervisors of production and operating workers,735946,15809,579940,15090,156006,6622,21.2,0.9,62739,580,65965,894,48658,1724,73.8,2.6,2022,0.31485624761571157,firstline supervisors of production and operating workers,,,,51-1011,First-Line Supervisors of Production and Operating Workers,firstline supervisors of production and operating workers,51-1011,51-1011.00,First-Line Supervisors of Production and Operating Workers,51-1011,First-Line Supervisors of Production and Operating Workers
Aircraft structure surfaces rigging and systems assemblers,4007,1131,3203,1006,804,422,20.1,9.4,59706,6742,62619,8973,54013,15054,(X),(X),2022,0.001622658,aircraft structure surfaces rigging and systems assemblers,,,51-2010,,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",aircraft structure surfaces rigging and systems assemblers,51-2010,,,,
Aircraft structure surfaces rigging and systems assemblers,4007,1131,3203,1006,804,422,20.1,9.4,59706,6742,62619,8973,54013,15054,(X),(X),2022,0.001622658,aircraft structure surfaces rigging and systems assemblers,,,,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",aircraft structure surfaces rigging and systems assemblers,51-2011,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
Electrical electronics and electromechanical assemblers,96346,5701,54745,3912,41601,3590,43.2,2.5,38938,1368,41395,1054,35661,1166,86.1,3.5,2022,0.083960455,electrical electronics and electromechanical assemblers,,,51-2020,,"Electrical, Electronics, and Electromechanical Assemblers",electrical electronics and electromechanical assemblers,51-2020,,,,
Engine and other machine assemblers,10146,1923,8751,1748,1395,870,13.7,7.8,51877,3710,53557,2519,37116,7974,(X),(X),2022,0.002815433,other engine and machine assemblers,,,51-2030,,Engine and Other Machine Assemblers,other engine and machine assemblers,51-2030,,,,
Engine and other machine assemblers,10146,1923,8751,1748,1395,870,13.7,7.8,51877,3710,53557,2519,37116,7974,(X),(X),2022,0.002815433,other engine and machine assemblers,,,,51-2031,Engine and Other Machine Assemblers,other engine and machine assemblers,51-2031,51-2031.00,Engine and Other Machine Assemblers,51-2031,Engine and Other Machine Assemblers
Structural metal fabricators and fitters,21472,3282,20922,3267,550,308,2.6,1.5,49442,3449,49713,3615,45714,9127,(X),(X),2022,0.001110027,structural metal fabricators and fitters,,,51-2040,,Structural Metal Fabricators and Fitters,structural metal fabricators and fitters,51-2040,,,,
Structural metal fabricators and fitters,21472,3282,20922,3267,550,308,2.6,1.5,49442,3449,49713,3615,45714,9127,(X),(X),2022,0.001110027,structural metal fabricators and fitters,,,,51-2041,Structural Metal Fabricators and Fitters,structural metal fabricators and fitters,51-2041,51-2041.00,Structural Metal Fabricators and Fitters,51-2041,Structural Metal Fabricators and Fitters
Other assemblers and fabricators,816433,15237,533770,10887,282663,10090,34.6,0.9,40703,331,42361,507,37117,506,87.6,1.6,2022,0.5704794143802154,other assemblers and fabricators,,,,51-2099,"Assemblers and Fabricators, All Other",other assemblers and fabricators,51-2099,51-2099.00,"Assemblers and Fabricators, All Other",51-2099,"Assemblers and Fabricators, All Other"
Bakers,134647,8609,57707,5497,76940,5786,57.1,2.7,32795,795,35590,1178,31289,585,87.9,3.5,2022,0.15528274355827884,bakers,,,51-3010,,Bakers,bakers,51-3010,,,,
Bakers,134647,8609,57707,5497,76940,5786,57.1,2.7,32795,795,35590,1178,31289,585,87.9,3.5,2022,0.15528274355827884,bakers,,,,51-3011,Bakers,bakers,51-3011,51-3011.00,Bakers,51-3011,Bakers
Butchers and other meat poultry and fish processing workers,200321,8358,158504,6870,41817,4150,20.9,1.7,39117,1264,40790,789,34280,1522,84,4.1,2022,0.084396393,other butchers and meat poultry and fish processing workers,,,51-3020,,"Butchers and Other Meat, Poultry, and Fish Processing Workers",other butchers and meat poultry and fish processing workers,51-3020,,,,
Food and tobacco roasting baking and drying machine operators and tenders,8229,1774,6412,1609,1817,709,22.1,8,43297,2402,44237,3798,37050,15702,(X),(X),2022,0.003667127,food and tobacco roasting baking and drying machine operators and tenders,,,,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",food and tobacco roasting baking and drying machine operators and tenders,51-3091,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
Food batchmakers,56430,3953,23470,2789,32960,3400,58.4,4.2,35818,1313,43270,2513,32834,1225,75.9,5.2,2022,0.066520915,food batchmakers,,,,51-3092,Food Batchmakers,food batchmakers,51-3092,51-3092.00,Food Batchmakers,51-3092,Food Batchmakers
Food cooking machine operators and tenders,8281,1770,6287,1661,1994,757,24.1,8.8,31686,4843,34354,9952,28413,7512,(X),(X),2022,0.004024354,food cooking machine operators and tenders,,,,51-3093,Food Cooking Machine Operators and Tenders,food cooking machine operators and tenders,51-3093,51-3093.00,Food Cooking Machine Operators and Tenders,51-3093,Food Cooking Machine Operators and Tenders
Food processing workers all other,120047,6881,82733,4781,37314,4035,31.1,2.4,42152,1169,45556,1532,37864,1358,83.1,4,2022,0.075308296,other food processing workers,,,,51-3099,"Food Processing Workers, All Other",other food processing workers,51-3099,51-3099.00,"Food Processing Workers, All Other",51-3099,"Food Processing Workers, All Other"
Computer numerically controlled tool operators and programmers,80888,5493,72739,5674,8149,1887,10.1,2.4,51809,1054,52676,1281,40620,5634,77.1,11.4,2022,0.01644657,computer numerically controlled tool operators and programmers,,,51-9160,,Computer Numerically Controlled Tool Operators and Programmers,computer numerically controlled tool operators and programmers,51-9160,,,,
Forming machine setters operators and tenders metal and plastic,25866,3132,22125,2841,3741,1216,14.5,4.3,47960,1311,48488,1400,43043,7956,(X),(X),2022,0.007550205,forming machine setters operators and tenders metal and plastic,,,51-4020,,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",forming machine setters operators and tenders metal and plastic,51-4020,,,,
Cutting punching and press machine setters operators and tenders metal and plastic,53903,4268,45834,3879,8069,1402,15,2.4,41869,1145,43473,1751,34254,2549,78.8,6.6,2022,0.016285111226562933,cutting punching and press machine setters operators and tenders metal and plastic,,,,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",cutting punching and press machine setters operators and tenders metal and plastic,51-4031,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
Grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic,33725,3077,30152,2943,3573,1025,10.6,2.9,41493,1571,42074,2049,31515,10473,(X),(X),2022,0.007211142,grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic,,,,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic,51-4033,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Other machine tool setters operators and tenders metal and plastic,7862,1707,6916,1618,946,485,12,5.9,43667,4648,45460,3520,32669,6091,(X),(X),2022,0.001909247,machine tool cutting setters operators and tenders metal and plastic,,,51-4030,,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",machine tool cutting setters operators and tenders metal and plastic,51-4030,,,,
Machinists,315087,10217,301770,9854,13317,2050,4.2,0.6,54272,688,54838,814,36639,1630,66.8,3.3,2022,0.026876791,machinists,,,51-4040,,Machinists,machinists,51-4040,,,,
Machinists,315087,10217,301770,9854,13317,2050,4.2,0.6,54272,688,54838,814,36639,1630,66.8,3.3,2022,0.026876791,machinists,,,,51-4041,Machinists,machinists,51-4041,51-4041.00,Machinists,51-4041,Machinists
Metal furnace operators tenders pourers and casters,19486,2413,17235,2156,2251,890,11.6,4.2,54965,2696,56395,2926,41226,3581,(X),(X),2022,0.004543039,metal furnace operators tenders pourers and casters,,,51-4050,,"Metal Furnace Operators, Tenders, Pourers, and Casters",metal furnace operators tenders pourers and casters,51-4050,,,,
Model makers and patternmakers metal and plastic,2718,837,1987,682,731,447,26.9,13.2,52818,6000,56145,5088,35517,15270,(X),(X),2022,0.001475327,model makers and patternmakers metal and plastic,,,51-4060,,"Model Makers and Patternmakers, Metal and Plastic",model makers and patternmakers metal and plastic,51-4060,,,,
Molders and molding machine setters operators and tenders metal and plastic,29005,2978,24975,2679,4030,1049,13.9,3.3,44009,2559,47414,4530,36238,2034,(X),(X),2022,0.008133474,molders and molding machine setters operators and tenders metal and plastic,,,51-4070,,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",molders and molding machine setters operators and tenders metal and plastic,51-4070,,,,
Tool and die makers,45164,3687,43946,3548,1218,631,2.7,1.3,64908,2628,65516,2870,38423,2760,(X),(X),2022,0.002458206,tool and die makers,,,51-4110,,Tool and Die Makers,tool and die makers,51-4110,,,,
Tool and die makers,45164,3687,43946,3548,1218,631,2.7,1.3,64908,2628,65516,2870,38423,2760,(X),(X),2022,0.002458206,tool and die makers,,,,51-4111,Tool and Die Makers,tool and die makers,51-4111,51-4111.00,Tool and Die Makers,51-4111,Tool and Die Makers
Welding soldering and brazing workers,483309,13438,457887,13389,25422,3781,5.3,0.8,48612,818,49245,833,40787,1384,82.8,2.9,2022,0.051307485,welding soldering and brazing workers,,,51-4120,,"Welding, Soldering, and Brazing Workers",welding soldering and brazing workers,51-4120,,,,
Other metal workers and plastic workers,341444,14063,269488,12148,71956,5453,21.1,1.4,43225,941,45769,914,37372,1079,81.7,3.1,2022,0.14522387698829622,other metal workers and plastic workers,,,,51-4199,"Metal Workers and Plastic Workers, All Other",other metal workers and plastic workers,51-4199,51-4199.00,"Metal Workers and Plastic Workers, All Other",51-4199,"Metal Workers and Plastic Workers, All Other"
Prepress technicians and workers,14515,2089,9144,1586,5371,1177,37,6.2,48152,3934,51066,6737,44088,7562,(X),(X),2022,0.010839922220581175,prepress technicians and workers,,,,51-5111,Prepress Technicians and Workers,prepress technicians and workers,51-5111,51-5111.00,Prepress Technicians and Workers,51-5111,Prepress Technicians and Workers
Printing press operators,105703,5939,84789,5407,20914,2520,19.8,2.2,43036,1284,45656,1728,31649,1394,69.3,4.1,2022,0.042209296838807434,printing press operators,,,,51-5112,Printing Press Operators,printing press operators,51-5112,51-5112.00,Printing Press Operators,51-5112,Printing Press Operators
Print binding and finishing workers,6660,1221,4757,1151,1903,610,28.6,8.7,41475,1890,43740,4565,35741,4117,(X),(X),2022,0.003840695,print binding and finishing workers,,,,51-5113,Print Binding and Finishing Workers,print binding and finishing workers,51-5113,51-5113.00,Print Binding and Finishing Workers,51-5113,Print Binding and Finishing Workers
Laundry and drycleaning workers,78035,5463,27874,3736,50161,3756,64.3,3.4,28776,1659,31965,1460,26862,1084,84,5.1,2022,0.10123651806117527,laundry and drycleaning workers,,,51-6010,,Laundry and Dry-Cleaning Workers,laundry and drycleaning workers,51-6010,,,,
Laundry and drycleaning workers,78035,5463,27874,3736,50161,3756,64.3,3.4,28776,1659,31965,1460,26862,1084,84,5.1,2022,0.10123651806117527,laundry and drycleaning workers,,,,51-6011,Laundry and Dry-Cleaning Workers,laundry and drycleaning workers,51-6011,51-6011.00,Laundry and Dry-Cleaning Workers,51-6011,Laundry and Dry-Cleaning Workers
Pressers textile garment and related materials,17013,2354,9899,1658,7114,1440,41.8,5.9,32397,3301,43983,3607,28988,2859,(X),(X),2022,0.014357699995757678,pressers textile garment and related materials,,,51-6020,,"Pressers, Textile, Garment, and Related Materials",pressers textile garment and related materials,51-6020,,,,
Pressers textile garment and related materials,17013,2354,9899,1658,7114,1440,41.8,5.9,32397,3301,43983,3607,28988,2859,(X),(X),2022,0.014357699995757678,pressers textile garment and related materials,,,,51-6021,"Pressers, Textile, Garment, and Related Materials",pressers textile garment and related materials,51-6021,51-6021.00,"Pressers, Textile, Garment, and Related Materials",51-6021,"Pressers, Textile, Garment, and Related Materials"
Sewing machine operators,85647,5881,26944,3188,58703,4628,68.5,2.9,32220,590,33081,2529,31883,672,96.4,7.2,2022,0.118476253,sewing machine operators,,,51-6030,,Sewing Machine Operators,sewing machine operators,51-6030,,,,
Sewing machine operators,85647,5881,26944,3188,58703,4628,68.5,2.9,32220,590,33081,2529,31883,672,96.4,7.2,2022,0.118476253,sewing machine operators,,,,51-6031,Sewing Machine Operators,sewing machine operators,51-6031,51-6031.00,Sewing Machine Operators,51-6031,Sewing Machine Operators
Shoe and leather workers,8768,1669,5304,1074,3464,1184,39.5,9.1,32068,3924,37157,6874,26817,5013,(X),(X),2022,0.006991154,shoe and leather workers,,,51-6040,,Shoe and Leather Workers,shoe and leather workers,51-6040,,,,
Tailors dressmakers and sewers,33832,2999,11414,2049,22418,2415,66.3,4.9,36183,1498,39733,5663,35415,1792,89.1,14.1,2022,0.045244717248368795,tailors dressmakers and sewers,,,51-6050,,"Tailors, Dressmakers, and Sewers",tailors dressmakers and sewers,51-6050,,,,
Textile machine setters operators and tenders,12713,1855,7113,1632,5600,1416,44,9.6,32399,2188,35208,5535,31595,3519,(X),(X),2022,0.011302097,textile machine setters operators and tenders,,,51-6060,,"Textile Machine Setters, Operators, and Tenders",textile machine setters operators and tenders,51-6060,,,,
Upholsterers,22471,2889,17246,2528,5225,1493,23.3,5.8,36638,1762,38922,2583,30689,2118,(X),(X),2022,0.01054526,upholsterers,,,,51-6093,Upholsterers,upholsterers,51-6093,51-6093.00,Upholsterers,51-6093,Upholsterers
Other textile apparel and furnishings workers,13376,2330,8310,1872,5066,1437,37.9,8.9,43727,4296,48996,10459,42610,12430,(X),(X),2022,0.010224361565716671,other textile apparel and furnishings workers,,,,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",other textile apparel and furnishings workers,51-6099,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other",51-6099,"Textile, Apparel, and Furnishings Workers, All Other"
Cabinetmakers and bench carpenters,41548,3886,38369,3632,3179,1008,7.7,2.3,42935,1873,44099,2152,27887,6203,(X),(X),2022,0.006415958,cabinetmakers and bench carpenters,,,51-7010,,Cabinetmakers and Bench Carpenters,cabinetmakers and bench carpenters,51-7010,,,,
Cabinetmakers and bench carpenters,41548,3886,38369,3632,3179,1008,7.7,2.3,42935,1873,44099,2152,27887,6203,(X),(X),2022,0.006415958,cabinetmakers and bench carpenters,,,,51-7011,Cabinetmakers and Bench Carpenters,cabinetmakers and bench carpenters,51-7011,51-7011.00,Cabinetmakers and Bench Carpenters,51-7011,Cabinetmakers and Bench Carpenters
Furniture finishers,8729,2120,7589,2019,1140,718,13.1,7.9,42069,2472,42474,8517,38378,13432,(X),(X),2022,0.002300784,furniture finishers,,,51-7020,,Furniture Finishers,furniture finishers,51-7020,,,,
Furniture finishers,8729,2120,7589,2019,1140,718,13.1,7.9,42069,2472,42474,8517,38378,13432,(X),(X),2022,0.002300784,furniture finishers,,,,51-7021,Furniture Finishers,furniture finishers,51-7021,51-7021.00,Furniture Finishers,51-7021,Furniture Finishers
Sawing machine setters operators and tenders wood,19186,2151,17694,2038,1492,745,7.8,3.7,37929,2928,37408,3217,41195,6873,(X),(X),2022,0.003011202,sawing machine setters operators and tenders wood,,,,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",sawing machine setters operators and tenders wood,51-7041,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood"
Woodworking machine setters operators and tenders except sawing,14345,2333,11652,1981,2693,803,18.8,4.6,38192,3596,39039,4184,35965,6643,(X),(X),2022,0.005435098,woodworking machine setters operators and tenders except sawing,,,,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",woodworking machine setters operators and tenders except sawing,51-7042,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
Other woodworkers,26885,3106,24208,3002,2677,995,10,3.6,42217,2283,42096,2154,44425,15247,(X),(X),2022,0.005402806,other woodworkers,,,,51-7099,"Woodworkers, All Other",other woodworkers,51-7099,51-7099.00,"Woodworkers, All Other",51-7099,"Woodworkers, All Other"
Power plant operators distributors and dispatchers,47767,4449,44032,4309,3735,950,7.8,1.9,106644,3943,106570,3813,113352,25552,(X),(X),2022,0.007538095,power plant operators distributors and dispatchers,,,51-8010,,"Power Plant Operators, Distributors, and Dispatchers",power plant operators distributors and dispatchers,51-8010,,,,
Stationary engineers and boiler operators,85146,5253,82263,5235,2883,946,3.4,1.1,71639,2771,71955,2869,67368,6761,(X),(X),2022,0.005818562,stationary engineers and boiler operators,,,51-8020,,Stationary Engineers and Boiler Operators,stationary engineers and boiler operators,51-8020,,,,
Stationary engineers and boiler operators,85146,5253,82263,5235,2883,946,3.4,1.1,71639,2771,71955,2869,67368,6761,(X),(X),2022,0.005818562,stationary engineers and boiler operators,,,,51-8021,Stationary Engineers and Boiler Operators,stationary engineers and boiler operators,51-8021,51-8021.00,Stationary Engineers and Boiler Operators,51-8021,Stationary Engineers and Boiler Operators
Water and wastewater treatment plant and system operators,94097,5157,90559,5174,3538,890,3.8,1,58267,2461,58264,2533,58317,5760,(X),(X),2022,0.007140504,water and wastewater treatment plant and system operators,,,51-8030,,Water and Wastewater Treatment Plant and System Operators,water and wastewater treatment plant and system operators,51-8030,,,,
Water and wastewater treatment plant and system operators,94097,5157,90559,5174,3538,890,3.8,1,58267,2461,58264,2533,58317,5760,(X),(X),2022,0.007140504,water and wastewater treatment plant and system operators,,,,51-8031,Water and Wastewater Treatment Plant and System Operators,water and wastewater treatment plant and system operators,51-8031,51-8031.00,Water and Wastewater Treatment Plant and System Operators,51-8031,Water and Wastewater Treatment Plant and System Operators
Miscellaneous plant and system operators,41358,4075,38644,3994,2714,932,6.6,2.2,85093,5427,83978,5498,90059,11292,(X),(X),2022,0.005477481,miscellaneous plant and system operators,,,51-8090,,Miscellaneous Plant and System Operators,miscellaneous plant and system operators,51-8090,,,,
