Occupation Name,Task Description,Importance,Verb-Noun Pairs
Fiberglass Laminators and Fabricators,"Bond wood reinforcing strips to decks and cabin structures of watercraft, using resin-saturated fiberglass.
Related occupations",76,"[('use', 'fiberglass')]"
Fiberglass Laminators and Fabricators,"Trim excess materials from molds, using hand shears or trimming knives.
Related occupations",71,"[('trim', 'material'), ('use', 'shear'), ('trim', 'knife')]"
Fiberglass Laminators and Fabricators,"Apply layers of plastic resin to mold surfaces prior to placement of fiberglass mats, repeating layers until products have the desired thicknesses and plastics have jelled.
Related occupations",86,"[('apply', 'layer'), ('repeat', 'layer')]"
Fiberglass Laminators and Fabricators,"Inspect, clean, and assemble molds before beginning work.
Related occupations",82,"[('assemble', 'mold'), ('begin', 'work')]"
Fiberglass Laminators and Fabricators,"Cure materials by letting them set at room temperature, placing them under heat lamps, or baking them in ovens.
Related occupations",80,[]
Fiberglass Laminators and Fabricators,"Apply lacquers and waxes to mold surfaces to facilitate assembly and removal of laminated parts.
Related occupations",77,"[('apply', 'lacquer'), ('facilitate', 'assembly')]"
Fiberglass Laminators and Fabricators,"Repair or modify damaged or defective glass-fiber parts, checking thicknesses, densities, and contours to ensure a close fit after repair.
Related occupations",76,"[('modify', 'part'), ('check', 'thickness'), ('ensure', 'fit')]"
Fiberglass Laminators and Fabricators,"Mask off mold areas not to be laminated, using cellophane, wax paper, masking tape, or special sprays containing mold-release substances.
Related occupations",76,"[('mask', 'area'), ('use', 'paper'), ('mask', 'tape'), ('contain', 'substance')]"
Fiberglass Laminators and Fabricators,"Check all dies, templates, and cutout patterns to be used in the manufacturing process to ensure that they conform to dimensional data, photographs, blueprints, samples, or customer specifications.
Related occupations",72,"[('cutout', 'pattern')]"
Fiberglass Laminators and Fabricators,"Trim cured materials by sawing them with diamond-impregnated cutoff wheels.
Related occupations",67,"[('trim', 'material')]"
File Clerks,"Scan or read incoming materials to determine how and where they should be classified or filed.
Related occupations",86,"[('read', 'material')]"
File Clerks,"Input data, such as file numbers, new or updated information, or document information codes into computer systems to support document and information retrieval.
Related occupations",83,"[('support', 'document')]"
File Clerks,"Perform general office activities, such as typing, answering telephones, operating office machines, processing mail, or securing confidential materials.
Related occupations",82,"[('perform', 'activity'), ('answer', 'telephone'), ('operate', 'machine'), ('secure', 'material')]"
File Clerks,"Sort or classify information according to guidelines, such as content, purpose, user criteria, or chronological, alphabetical, or numerical order.
Related occupations",78,"[('classify', 'information')]"
File Clerks,"Answer questions about records or files.
Related occupations",78,[]
File Clerks,"Keep records of materials filed or removed, using logbooks or computers and generate computerized reports.
Related occupations",77,"[('keep', 'record'), ('use', 'logbook'), ('generate', 'report')]"
File Clerks,"Add new material to file records or create new records as necessary.
Related occupations",76,"[('add', 'material'), ('file', 'record'), ('create', 'record')]"
File Clerks,"Gather materials to be filed from departments or employees.
Related occupations",76,[]
File Clerks,"Find, retrieve, and make copies of information from files in response to requests and deliver information to authorized users.
Related occupations",76,"[('make', 'copy'), ('deliver', 'information'), ('authorize', 'user')]"
File Clerks,"Track materials removed from files to ensure that borrowed files are returned.
Related occupations",74,[]
File Clerks,"Place materials into storage receptacles, such as file cabinets, boxes, bins, or drawers, according to classification and identification information.
Related occupations",73,[]
File Clerks,"Eliminate outdated or unnecessary materials, destroying them or transferring them to inactive storage, according to file maintenance guidelines or legal requirements.
Related occupations",69,"[('eliminate', 'material'), ('file', 'guideline')]"
File Clerks,"Perform periodic inspections of materials or files to ensure correct placement, legibility, or proper condition.
Related occupations",68,"[('perform', 'inspection'), ('ensure', 'placement')]"
File Clerks,"Modify or improve filing systems or implement new filing systems.
Related occupations",61,"[('improve', 'system'), ('implement', 'system')]"
File Clerks,"Design forms related to filing systems.
Related occupations",60,[]
File Clerks,"Complete general financial activities, such as processing accounts payable, reviewing invoices, collecting cash payments, or issuing receipts.
Related occupations",78,"[('review', 'invoice'), ('collect', 'payment'), ('issue', 'receipt')]"
File Clerks,"Operate mechanized files that rotate to bring needed records to a particular location.
Related occupations",71,"[('operate', 'file'), ('bring', 'record')]"
File Clerks,"Assign and record or stamp identification numbers or codes to index materials for filing.
Related occupations",64,[]
File Clerks,"Retrieve documents stored in microfilm or microfiche and place them in viewers for reading.
Related occupations",58,[]
Film and Video Editors,"Organize and string together raw footage into a continuous whole according to scripts or the instructions of directors and producers.
Related occupations",92,"[('stre', 'footage')]"
Film and Video Editors,"Edit films and videotapes to insert music, dialogue, and sound effects, to arrange films into sequences, and to correct errors, using editing equipment.
Related occupations",90,"[('insert', 'music'), ('arrange', 'film'), ('correct', 'error'), ('use', 'equipment')]"
Film and Video Editors,"Select and combine the most effective shots of each scene to form a logical and smoothly running story.
Related occupations",90,"[('combine', 'shot'), ('form', 'story')]"
Film and Video Editors,"Review footage sequence by sequence to become familiar with it before assembling it into a final product.
Related occupations",89,"[('review', 'sequence')]"
Film and Video Editors,"Set up and operate computer editing systems, electronic titling systems, video switching equipment, and digital video effects units to produce a final product.
Related occupations",88,"[('operate', 'system'), ('produce', 'product')]"
Film and Video Editors,"Trim film segments to specified lengths and reassemble segments in sequences that present stories with maximum effect.
Related occupations",85,"[('specify', 'length')]"
Film and Video Editors,"Cut shot sequences to different angles at specific points in scenes, making each individual cut as fluid and seamless as possible.
Related occupations",84,"[('shoot', 'sequence')]"
Film and Video Editors,"Review assembled films or edited videotapes on screens or monitors to determine if corrections are necessary.
Related occupations",84,"[('assemble', 'film')]"
Film and Video Editors,"Verify key numbers and time codes on materials.
Related occupations",79,"[('verify', 'number')]"
Film and Video Editors,"Manipulate plot, score, sound, and graphics to make the parts into a continuous whole, working closely with people in audio, visual, music, optical, or special effects departments.
Related occupations",79,"[('make', 'part')]"
Film and Video Editors,"Program computerized graphic effects.
Related occupations",78,[]
Film and Video Editors,"Study scripts to become familiar with production concepts and requirements.
Related occupations",74,[]
Film and Video Editors,"Supervise and coordinate activities of workers engaged in film editing, assembling, and recording activities.
Related occupations",69,"[('coordinate', 'activity')]"
Film and Video Editors,"Determine the specific audio and visual effects and music necessary to complete films.
Related occupations",84,"[('determine', 'effect'), ('complete', 'film')]"
Film and Video Editors,"Mark frames where a particular shot or piece of sound is to begin or end.
Related occupations",83,[]
Film and Video Editors,"Record needed sounds or obtain them from sound effects libraries.
Related occupations",76,"[('need', 'sound')]"
Film and Video Editors,"Conduct film screenings for directors and members of production staffs.
Related occupations",76,[]
Film and Video Editors,"Discuss the sound requirements of pictures with sound effects editors.
Related occupations",74,"[('discuss', 'requirement')]"
Film and Video Editors,"Piece sounds together to develop film soundtracks.
Related occupations",72,"[('develop', 'soundtrack')]"
Film and Video Editors,"Confer with producers and directors concerning layout or editing approaches needed to increase dramatic or entertainment value of productions.
Related occupations",71,"[('concern', 'layout'), ('edit', 'approach'), ('increase', 'value')]"
Film and Video Editors,"Develop post-production models for films.
Related occupations",67,"[('develop', 'model')]"
Film and Video Editors,"Collaborate with music editors to select appropriate passages of music and develop production scores.
Related occupations",65,"[('select', 'passage'), ('develop', 'score')]"
Financial Examiners,"Direct and participate in formal and informal meetings with bank directors, trustees, senior management, counsels, outside accountants, and consultants to gather information and discuss findings.
Related occupations",93,"[('gather', 'information'), ('discuss', 'finding')]"
Financial Examiners,"Recommend actions to ensure compliance with laws and regulations, or to protect solvency of institutions.
Related occupations",91,"[('ensure', 'compliance'), ('protect', 'solvency')]"
Financial Examiners,"Prepare reports, exhibits, and other supporting schedules that detail an institution's safety and soundness, compliance with laws and regulations, and recommended solutions to questionable financial conditions.
Related occupations",86,"[('detail', 'safety'), ('recommend', 'solution')]"
Financial Examiners,"Resolve problems concerning the overall financial integrity of banking institutions including loan investment portfolios, capital, earnings, and specific or large troubled accounts.
Related occupations",81,"[('resolve', 'problem')]"
Financial Examiners,"Investigate activities of institutions to enforce laws and regulations and to ensure legality of transactions and operations or financial solvency.
Related occupations",79,"[('enforce', 'law'), ('ensure', 'legality')]"
Financial Examiners,"Review balance sheets, operating income and expense accounts, and loan documentation to confirm institution assets and liabilities.
Related occupations",78,"[('confirm', 'asset')]"
Financial Examiners,"Plan, supervise, and review work of assigned subordinates.
Related occupations",78,"[('review', 'work')]"
Financial Examiners,"Review audit reports of internal and external auditors to monitor adequacy of scope of reports or to discover specific weaknesses in internal routines.
Related occupations",76,"[('monitor', 'adequacy'), ('discover', 'weakness')]"
Financial Examiners,"Examine the minutes of meetings of directors, stockholders, and committees to investigate the specific authority extended at various levels of management.
Related occupations",74,"[('examine', 'minute'), ('investigate', 'authority')]"
Financial Examiners,"Train other examiners in the financial examination process.
Related occupations",71,"[('train', 'examiner')]"
Financial Examiners,"Establish guidelines for procedures and policies that comply with new and revised regulations and direct their implementation.
Related occupations",70,"[('establish', 'guideline'), ('direct', 'implementation')]"
Financial Examiners,"Review and analyze new, proposed, or revised laws, regulations, policies, and procedures to interpret their meaning and determine their impact.
Related occupations",69,"[('analyze', 'law'), ('interpret', 'meaning'), ('determine', 'impact')]"
Financial Examiners,"Provide regulatory compliance training to employees.
Related occupations",65,"[('provide', 'training')]"
Financial Examiners,"Evaluate data processing applications for institutions under examination to develop recommendations for coordinating existing systems with examination procedures.
Related occupations",63,"[('evaluate', 'application'), ('develop', 'recommendation'), ('coordinate', 'system')]"
Financial Examiners,"Review applications for mergers, acquisitions, establishment of new institutions, acceptance in Federal Reserve System, or registration of securities sales to determine their public interest value and conformance to regulations, and recommend acceptance or rejection.
Related occupations",63,"[('determine', 'value'), ('recommend', 'acceptance')]"
Financial Examiners,"Verify and inspect cash reserves, assigned collateral, and bank-owned securities to check internal control procedures.
Related occupations",56,"[('inspect', 'reserve'), ('check', 'procedure')]"
Financial Examiners,"Confer with officials of real estate, securities, or financial institution industries to exchange views and discuss issues or pending cases.
Related occupations",49,"[('exchange', 'view'), ('discuss', 'issue')]"
Financial Managers,"Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.
Related occupations",83,"[('maintain', 'relationship'), ('provide', 'assistance')]"
Financial Managers,"Oversee the flow of cash or financial instruments.
Related occupations",80,"[('oversee', 'flow')]"
Financial Managers,"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.
Related occupations",78,"[('coordinate', 'activity')]"
Financial Managers,"Recruit staff members.
Related occupations",70,[]
Financial Managers,"Evaluate data pertaining to costs to plan budgets.
Related occupations",65,"[('evaluate', 'datum'), ('plan', 'budget')]"
Financial Managers,"Oversee training programs.
Related occupations",62,"[('oversee', 'program')]"
Financial Managers,"Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping.
Related occupations",85,"[('ensure', 'safekeeping')]"
Financial Managers,"Communicate with stockholders or other investors to provide information or to raise capital.
Related occupations",81,"[('provide', 'information'), ('raise', 'capital')]"
Financial Managers,"Develop or analyze information to assess the current or future financial status of firms.
Related occupations",79,"[('analyze', 'information'), ('assess', 'status')]"
Financial Managers,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.
Related occupations",77,"[('coordinate', 'approval')]"
Financial Managers,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.
Related occupations",76,"[('prepare', 'report')]"
Financial Managers,"Examine, evaluate, or process loan applications.
Related occupations",75,[]
Financial Managers,"Evaluate financial reporting systems, accounting or collection procedures, or investment activities and make recommendations for changes to procedures, operating systems, budgets, or other financial control functions.
Related occupations",71,"[('evaluate', 'system'), ('make', 'recommendation')]"
Financial Managers,"Network within communities to find and attract new business.
Related occupations",69,"[('attract', 'business')]"
Financial Managers,"Prepare operational or risk reports for management analysis.
Related occupations",66,"[('prepare', 'report')]"
Financial Managers,"Review collection reports to determine the status of collections and the amounts of outstanding balances.
Related occupations",65,"[('determine', 'status')]"
Financial Managers,"Review reports of securities transactions or price lists to analyze market conditions.
Related occupations",55,"[('analyze', 'condition')]"
Financial Quantitative Analysts,"Apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation.
Related occupations",85,"[('apply', 'technique'), ('address', 'issue')]"
Financial Quantitative Analysts,"Research or develop analytical tools to address issues such as portfolio construction or optimization, performance measurement, attribution, profit and loss measurement, or pricing models.
Related occupations",79,"[('develop', 'tool'), ('address', 'issue')]"
Financial Quantitative Analysts,"Interpret results of financial analysis procedures.
Related occupations",78,"[('interpret', 'result')]"
Financial Quantitative Analysts,"Develop core analytical capabilities or model libraries, using advanced statistical, quantitative, or econometric techniques.
Related occupations",75,"[('develop', 'capability'), ('use', 'technique')]"
Financial Quantitative Analysts,"Define or recommend model specifications or data collection methods.
Related occupations",71,"[('recommend', 'specification')]"
Financial Quantitative Analysts,"Produce written summary reports of financial research results.
Related occupations",66,"[('write', 'report')]"
Financial Quantitative Analysts,"Maintain or modify all financial analytic models in use.
Related occupations",66,"[('modify', 'model')]"
Financial Quantitative Analysts,"Provide application or analytical support to researchers or traders on issues such as valuations or data.
Related occupations",65,"[('provide', 'application')]"
Financial Quantitative Analysts,"Devise or apply independent models or tools to help verify results of analytical systems.
Related occupations",64,"[('apply', 'model'), ('verify', 'result')]"
Financial Quantitative Analysts,"Collaborate in the development or testing of new analytical software to ensure compliance with user requirements, specifications, or scope.
Related occupations",61,"[('ensure', 'compliance')]"
Financial Quantitative Analysts,"Confer with other financial engineers or analysts on trading strategies, market dynamics, or trading system performance to inform development of quantitative techniques.
Related occupations",61,"[('inform', 'development')]"
Financial Quantitative Analysts,"Consult traders or other financial industry personnel to determine the need for new or improved analytical applications.
Related occupations",59,"[('determine', 'need')]"
Financial Quantitative Analysts,"Research new financial products or analytics to determine their usefulness.
Related occupations",58,"[('determine', 'usefulness')]"
Financial Quantitative Analysts,"Identify, track, or maintain metrics for trading system operations.
Related occupations",47,"[('maintain', 'metric')]"
Financial Quantitative Analysts,"Develop methods of assessing or measuring corporate performance in terms of environmental, social, and governance (ESG) issues.
Related occupations",46,"[('develop', 'method'), ('measure', 'performance')]"
Financial Quantitative Analysts,"Collaborate with product development teams to research, model, validate, or implement quantitative structured solutions for new or expanded markets.
Related occupations",46,"[('implement', 'solution')]"
Financial Quantitative Analysts,"Prepare requirements documentation for use by software developers.
Related occupations",46,[]
Financial Quantitative Analysts,"Develop solutions to help clients hedge carbon exposure or risk.
Related occupations",38,"[('develop', 'solution'), ('hedge', 'exposure')]"
Financial Quantitative Analysts,"Develop tools to assess green technologies or green financial products, such as green hedge funds or social responsibility investment funds.
Related occupations",36,"[('develop', 'tool'), ('assess', 'technology')]"
Financial Quantitative Analysts,"Assess the potential impact of climate change on business financial issues, such as damage repairs, insurance costs, or potential disruptions of daily activities.
Related occupations",33,"[('assess', 'impact')]"
Financial Quantitative Analysts,"Analyze pricing or risks of carbon trading products.
Related occupations",27,[]
"Fine Artists, Including Painters, Sculptors, and Illustrators","Use materials such as pens and ink, watercolors, charcoal, oil, or computer software to create artwork.
Related occupations",87,"[('create', 'artwork')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Integrate and develop visual elements, such as line, space, mass, color, and perspective, to produce desired effects, such as the illustration of ideas, emotions, or moods.
Related occupations",82,"[('develop', 'element'), ('produce', 'effect')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Confer with clients, editors, writers, art directors, and other interested parties regarding the nature and content of artwork to be produced.
Related occupations",72,[]
"Fine Artists, Including Painters, Sculptors, and Illustrators","Maintain portfolios of artistic work to demonstrate styles, interests, and abilities.
Related occupations",65,"[('maintain', 'portfolio'), ('demonstrate', 'style')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Market artwork through brochures, mailings, or Web sites.
Related occupations",63,[]
"Fine Artists, Including Painters, Sculptors, and Illustrators","Study different techniques to learn how to apply them to artistic endeavors.
Related occupations",63,"[('study', 'technique')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Monitor events, trends, and other circumstances, research specific subject areas, attend art exhibitions, and read art publications to develop ideas and keep current on art world activities.
Related occupations",53,"[('attend', 'exhibition'), ('read', 'publication'), ('develop', 'idea')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Photograph objects, places, or scenes for reference material.
Related occupations",52,[]
"Fine Artists, Including Painters, Sculptors, and Illustrators","Model substances such as clay or wax, using fingers and small hand tools to form objects.
Related occupations",79,"[('use', 'finger'), ('form', 'object')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Create sculptures, statues, and other three-dimensional artwork by using abrasives and tools to shape, carve, and fabricate materials such as clay, stone, wood, or metal.
Related occupations",75,"[('create', 'sculpture'), ('use', 'abrasive'), ('fabricate', 'material')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Set up exhibitions of artwork for display or sale.
Related occupations",75,"[('set', 'exhibition')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Render drawings, illustrations, and sketches of buildings, manufactured products, or models, working from sketches, blueprints, memory, models, or reference materials.
Related occupations",73,"[('render', 'drawing')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Shade and fill in sketch outlines and backgrounds, using a variety of media such as water colors, markers, and transparent washes, labeling designated colors when necessary.
Related occupations",72,"[('fill', 'outline'), ('use', 'variety'), ('label', 'color')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Frame and mat artwork for display or sale.
Related occupations",72,[]
"Fine Artists, Including Painters, Sculptors, and Illustrators","Submit artwork to shows or galleries.
Related occupations",70,[]
"Fine Artists, Including Painters, Sculptors, and Illustrators","Submit preliminary or finished artwork or project plans to clients for approval, incorporating changes as necessary.
Related occupations",70,"[('submit', 'artwork'), ('incorporate', 'change')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Collaborate with engineers, mechanics, and other technical experts as necessary to build and install creations.
Related occupations",68,"[('install', 'creation')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Cut, bend, laminate, arrange, and fasten individual or mixed raw and manufactured materials and products to form works of art.
Related occupations",66,"[('fasten', 'material'), ('form', 'work')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Develop project budgets for approval, estimating time lines and material costs.
Related occupations",64,"[('develop', 'budget'), ('estimate', 'line')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Create and prepare sketches and model drawings of cartoon characters, providing details from memory, live models, manufactured products, or reference materials.
Related occupations",64,"[('prepare', 'sketch'), ('provide', 'detail')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Create finished art work as decoration, or to elucidate or substitute for spoken or written messages.
Related occupations",61,"[('create', 'work')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Create sketches, profiles, or likenesses of posed subjects or photographs, using any combination of freehand drawing, mechanical assembly kits, and computer imaging.
Related occupations",60,"[('create', 'sketch'), ('use', 'combination')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Trace drawings onto clear acetate for painting or coloring, or trace them with ink to make final copies.
Related occupations",59,"[('make', 'copy')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Apply solvents and cleaning agents to clean surfaces of paintings, and to remove accretions, discolorations, and deteriorated varnish.
Related occupations",57,"[('apply', 'solvent'), ('clean', 'surface'), ('remove', 'accretion'), ('deteriorate', 'varnish')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Collaborate with writers who create ideas, stories, or captions that are combined with artists' work.
Related occupations",56,"[('create', 'idea')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Brush or spray protective or decorative finishes on completed background panels, informational legends, exhibit accessories, or finished paintings.
Related occupations",55,"[('spray', 'finish')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Teach artistic techniques to children or adults.
Related occupations",50,"[('teach', 'technique')]"
"Fine Artists, Including Painters, Sculptors, and Illustrators","Provide entertainment at special events by performing activities such as drawing cartoons.
Related occupations",Not available,"[('provide', 'entertainment'), ('perform', 'activity'), ('draw', 'cartoon')]"
Fire Inspectors and Investigators,"Prepare and maintain reports of investigation results, and records of convicted arsonists and arson suspects.
Related occupations",97,"[('maintain', 'report')]"
Fire Inspectors and Investigators,"Testify in court cases involving fires, suspected arson, and false alarms.
Related occupations",96,"[('involve', 'fire')]"
Fire Inspectors and Investigators,"Package collected pieces of evidence in securely closed containers, such as bags, crates, or boxes, to protect them.
Related occupations",94,"[('collect', 'piece')]"
Fire Inspectors and Investigators,"Conduct inspections and acceptance testing of newly installed fire protection systems.
Related occupations",92,"[('conduct', 'inspection')]"
Fire Inspectors and Investigators,"Analyze evidence and other information to determine probable cause of fire or explosion.
Related occupations",91,"[('analyze', 'evidence'), ('determine', 'cause')]"
Fire Inspectors and Investigators,"Photograph damage and evidence related to causes of fires or explosions to document investigation findings.
Related occupations",90,"[('photograph', 'damage')]"
Fire Inspectors and Investigators,"Inspect buildings to locate hazardous conditions and fire code violations, such as accumulations of combustible material, electrical wiring problems, and inadequate or non-functional fire exits.
Related occupations",90,"[('inspect', 'building'), ('locate', 'condition')]"
Fire Inspectors and Investigators,"Examine fire sites and collect evidence such as glass, metal fragments, charred wood, and accelerant residue for use in determining the cause of a fire.
Related occupations",90,"[('examine', 'site'), ('collect', 'evidence'), ('determine', 'cause')]"
Fire Inspectors and Investigators,"Instruct children about the dangers of fire.
Related occupations",88,"[('instruct', 'child')]"
Fire Inspectors and Investigators,"Conduct fire code compliance follow-ups to ensure that corrective actions have been taken in cases where violations were found.
Related occupations",88,"[('conduct', 'up')]"
Fire Inspectors and Investigators,"Inspect properties that store, handle, and use hazardous materials to ensure compliance with laws, codes, and regulations, and issue hazardous materials permits to facilities found in compliance.
Related occupations",86,"[('inspect', 'property'), ('use', 'material'), ('ensure', 'compliance'), ('issue', 'permit')]"
Fire Inspectors and Investigators,"Write detailed reports of fire inspections performed, fire code violations observed, and corrective recommendations offered.
Related occupations",85,"[('write', 'report')]"
Fire Inspectors and Investigators,"Identify corrective actions necessary to bring properties into compliance with applicable fire codes, laws, regulations, and standards, and explain these measures to property owners or their representatives.
Related occupations",84,"[('identify', 'action'), ('bring', 'property'), ('explain', 'measure')]"
Fire Inspectors and Investigators,"Develop or review fire exit plans.
Related occupations",83,"[('review', 'plan')]"
Fire Inspectors and Investigators,"Inspect and test fire protection or fire detection systems to verify that such systems are installed in accordance with appropriate laws, codes, ordinances, regulations, and standards.
Related occupations",83,"[('test', 'protection')]"
Fire Inspectors and Investigators,"Coordinate efforts with other organizations, such as law enforcement agencies.
Related occupations",82,[]
Fire Inspectors and Investigators,"Attend training classes to maintain current knowledge of fire prevention, safety, and firefighting procedures.
Related occupations",82,"[('attend', 'class'), ('maintain', 'knowledge')]"
Fire Inspectors and Investigators,"Review blueprints and plans for new or remodeled buildings to ensure the structures meet fire safety codes.
Related occupations",80,"[('meet', 'code')]"
Fire Inspectors and Investigators,"Teach fire investigation techniques to other firefighter personnel.
Related occupations",76,"[('teach', 'technique')]"
Fire Inspectors and Investigators,"Conduct fire exit drills to monitor and evaluate evacuation procedures.
Related occupations",74,"[('conduct', 'exit'), ('evaluate', 'procedure')]"
Fire Inspectors and Investigators,"Teach public education programs on fire safety and prevention.
Related occupations",72,"[('teach', 'program')]"
Fire Inspectors and Investigators,"Recommend changes to fire prevention, inspection, and fire code endorsement procedures.
Related occupations",67,"[('recommend', 'change')]"
Fire Inspectors and Investigators,"Subpoena and interview witnesses, property owners, and building occupants to obtain information and sworn testimony.
Related occupations",91,"[('obtain', 'information')]"
Fire Inspectors and Investigators,"Conduct internal investigation to determine negligence and violation of laws and regulations by fire department employees.
Related occupations",85,"[('conduct', 'investigation'), ('determine', 'negligence')]"
Fire Inspectors and Investigators,"Test sites and materials to establish facts, such as burn patterns and flash points of materials, using test equipment.
Related occupations",84,"[('establish', 'fact'), ('use', 'equipment')]"
Fire Inspectors and Investigators,"Dust evidence or portions of fire scenes for latent fingerprints.
Related occupations",78,[]
Fire Inspectors and Investigators,"Arrange for the replacement of defective fire fighting equipment and for repair of fire alarm and sprinkler systems, making minor repairs such as servicing fire extinguishers when feasible.
Related occupations",76,"[('make', 'repair')]"
Fire Inspectors and Investigators,"Issue permits for public assemblies.
Related occupations",74,[]
Fire Inspectors and Investigators,"Supervise staff, training them, planning their work, and evaluating their performance.
Related occupations",73,"[('plan', 'work'), ('evaluate', 'performance')]"
Fire Inspectors and Investigators,"Develop and coordinate fire prevention programs, such as false alarm billing, fire inspection reporting, and hazardous materials management.
Related occupations",71,"[('coordinate', 'program')]"
Fire-Prevention and Protection Engineers,"Advise architects, builders, and other construction personnel on fire prevention equipment and techniques and on fire code and standard interpretation and compliance.
Related occupations",91,[]
Fire-Prevention and Protection Engineers,"Inspect buildings or building designs to determine fire protection system requirements and potential problems in areas such as water supplies, exit locations, and construction materials.
Related occupations",85,"[('inspect', 'design'), ('determine', 'requirement')]"
Fire-Prevention and Protection Engineers,"Design fire detection equipment, alarm systems, and fire extinguishing devices and systems.
Related occupations",83,[]
Fire-Prevention and Protection Engineers,"Prepare and write reports detailing specific fire prevention and protection issues, such as work performed, revised codes or standards, and proposed review schedules.
Related occupations",81,"[('write', 'report'), ('detail', 'issue')]"
Fire-Prevention and Protection Engineers,"Consult with authorities to discuss safety regulations and to recommend changes as necessary.
Related occupations",75,"[('discuss', 'regulation'), ('recommend', 'change')]"
Fire-Prevention and Protection Engineers,"Direct the purchase, modification, installation, testing, maintenance, and operation of fire prevention and protection systems.
Related occupations",74,"[('direct', 'purchase')]"
Fire-Prevention and Protection Engineers,"Determine causes of fires and ways in which they could have been prevented.
Related occupations",71,[]
Fire-Prevention and Protection Engineers,"Develop plans for the prevention of destruction by fire, wind, and water.
Related occupations",69,"[('develop', 'plan')]"
Fire-Prevention and Protection Engineers,"Develop training materials and conduct training sessions on fire protection.
Related occupations",65,"[('develop', 'material'), ('conduct', 'session')]"
Fire-Prevention and Protection Engineers,"Attend workshops, seminars, or conferences to present or obtain information regarding fire prevention and protection.
Related occupations",63,"[('obtain', 'information')]"
Fire-Prevention and Protection Engineers,"Evaluate fire department performance and the laws and regulations affecting fire prevention or fire safety.
Related occupations",62,"[('evaluate', 'performance'), ('affect', 'prevention')]"
Fire-Prevention and Protection Engineers,"Study the relationships between ignition sources and materials to determine how fires start.
Related occupations",58,"[('study', 'relationship')]"
Fire-Prevention and Protection Engineers,"Conduct research on fire retardants and the fire safety of materials and devices.
Related occupations",58,"[('conduct', 'research')]"
Firefighters,"Rescue survivors from burning buildings, accident sites, and water hazards.
Related occupations",93,[]
Firefighters,"Dress with equipment such as fire-resistant clothing and breathing apparatus.
Related occupations",91,[]
Firefighters,"Assess fires and situations and report conditions to superiors to receive instructions, using two-way radios.
Related occupations",90,"[('report', 'condition'), ('receive', 'instruction'), ('use', 'radio')]"
Firefighters,"Move toward the source of a fire, using knowledge of types of fires, construction design, building materials, and physical layout of properties.
Related occupations",90,"[('use', 'knowledge')]"
Firefighters,"Respond to fire alarms and other calls for assistance, such as automobile and industrial accidents.
Related occupations",90,[]
Firefighters,"Create openings in buildings for ventilation or entrance, using axes, chisels, crowbars, electric saws, or core cutters.
Related occupations",89,"[('create', 'opening'), ('use', 'axis')]"
Firefighters,"Drive and operate fire fighting vehicles and equipment.
Related occupations",88,"[('operate', 'vehicle')]"
Firefighters,"Inspect fire sites after flames have been extinguished to ensure that there is no further danger.
Related occupations",88,"[('inspect', 'site')]"
Firefighters,"Position and climb ladders to gain access to upper levels of buildings, or to rescue individuals from burning structures.
Related occupations",87,"[('climb', 'ladder'), ('gain', 'access'), ('rescue', 'individual')]"
Firefighters,"Select and attach hose nozzles, depending on fire type, and direct streams of water or chemicals onto fires.
Related occupations",87,"[('attach', 'nozzle')]"
Firefighters,"Operate pumps connected to high-pressure hoses.
Related occupations",86,[]
Firefighters,"Maintain contact with fire dispatchers at all times to notify them of the need for additional firefighters and supplies, or to detail any difficulties encountered.
Related occupations",84,"[('maintain', 'contact'), ('detail', 'difficulty')]"
Firefighters,"Collaborate with other firefighters as a member of a firefighting crew.
Related occupations",84,[]
